Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExternalJavaScriptFilesCommand.java",2,2,2,1,10,0,10,0,,,,,1,0,4,15,,15,15,7,15,,4,7,0,4,,234,24,191,66,109,19,,,,94,137,67,79,,,,,,5,5,7,3,,,4,,,,"0.10",39,39,44,17
File,"ExternalJavaScriptFilesCommandTest.java",1,1,1,1,16,0,16,0,,,,,1,0,0,10,,10,10,4,10,,0,0,0,10,,216,15,182,69,135,21,,,,123,134,52,92,,,,,,1,1,1,1,,,0,,,,"0.12",10,10,10,10
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.celements",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.celements.web",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.celements.web.plugin",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.celements.web.plugin.cmd",1,1,2,1,12,0,12,0,,,,,2,0,4,,2,,25,11,25,,4,7,0,14,,450,39,373,135,244,40,,,,217,271,119,171,,,,,,5,5,7,3,,,4,,,,"0.11",49,49,54,27
Public Class,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand",2,2,2,1,10,0,10,0,1,24,24,0,,0,4,,,,15,7,15,15,4,7,0,4,,189,20,169,44,109,0,,,,72,115,45,79,,,,,,5,5,7,3,,1,4,,81,61,"0.00",39,39,44,17
Public Constructor,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.ExternalJavaScriptFilesCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,1,5,0,6,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.addAllExtJSfilesFromDoc",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,3,6,0,4,3,0,4,8,4,5,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.addExtJSfileOnce",,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.addExtJSfileOnce",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,0,16,1,11,0,9,5,1,4,8,1,7,4,4,5,3,3,,,,,3,,2,3,,,"0.00",4,4,5,3
Private Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.addExtJSfileOnce_internal",,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,0,20,2,14,0,4,8,1,9,14,2,12,5,5,5,1,1,,,,,0,,2,0,,,"0.00",5,5,5,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.getAllExternalJavaScriptFiles",,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,0,28,4,22,0,18,16,1,13,20,6,16,5,5,6,1,0,,,,,0,,1,0,,,"0.00",5,5,6,1
Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.getAttUrlCmd",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,3,0,1,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.getExtStringForJsFile",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.getJavaScriptExternalFilePaths",,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,0,17,5,11,0,6,5,1,5,11,5,8,5,5,6,1,0,,,,,0,,4,0,,,"0.00",5,5,6,1
Private Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.getListenerMap",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,1,5,0,5,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.getPageTypeDoc",,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,1,20,5,16,0,13,3,0,9,12,4,10,5,5,7,1,0,,,,,0,,2,0,,,"0.00",5,5,7,1
Private Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.getWebUtils",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.injectAttUrlCmd",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.injectDisplayAll",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommand.notifyExtJavaScriptFileListener",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,2,3,0,4,2,0,2,5,3,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Class,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest",1,1,1,1,16,0,16,0,1,11,11,0,,0,0,,,,10,4,10,10,0,0,0,10,,182,11,171,58,135,2,,,,112,123,41,92,,,,,,1,1,1,1,,2,0,,7,7,"0.01",10,10,10,10
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.setUp_ExternalJavaScriptFilesCommandTest",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,2,6,0,9,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.testAddExtJSfileOnce_afterGetAll",,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,3,10,0,14,1,0,9,10,2,8,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.testAddExtJSfileOnce_afterGetAll_fileNotFound_attUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,15,4,11,0,14,1,0,9,10,2,8,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.testAddExtJSfileOnce_afterGetAll_fileNotFound_url",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,15,4,11,0,14,1,0,9,10,2,8,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.testAddExtJSfileOnce_afterGetAll_versioning",,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,0,13,3,10,0,14,1,0,9,10,2,8,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.testAddExtJSfileOnce_beforeGetAll",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,3,7,0,13,1,0,7,8,2,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.testAddExtJSfileOnce_beforeGetAll_double",,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,0,32,11,29,0,18,1,0,22,23,8,20,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.celements.web.plugin.cmd.ExternalJavaScriptFilesCommandTest.testAddExtJSfileOnce_beforeGetAll_explicitAndImplicit_double",,,,,,,,,,,,,,,,,,,,,,,,,,,4,39,0,39,14,35,0,18,1,0,25,26,10,21,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
