Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractTiledLayerParams.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,1,3,,0,0,0,3,,59,7,13,12,1,39,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,"3.00",0,0,0,0
File,"AbstractWMXLayerParams.java",1,1,1,1,9,0,7,2,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,143,15,60,31,23,68,,,,31,43,27,22,,,,,,5,5,5,1,,,4,,,,"1.13",11,11,11,6
File,"OsmLayer.java",1,1,2,1,12,0,10,1,,,,,2,0,1,8,,8,8,3,8,,0,0,2,6,,161,19,111,61,43,31,,,,57,73,43,34,,,,,,5,5,8,1,,,2,,,,"0.28",14,14,17,8
File,"OsmLayerParam.java",1,1,1,1,9,0,7,1,,,,,1,0,5,6,,6,6,8,6,,0,0,0,6,,170,20,84,50,43,66,,,,43,52,37,16,,,,,,3,3,3,3,,,1,,,,"0.79",8,8,8,8
File,"TileCacheInformation.java",1,1,1,1,13,0,5,7,,,,,1,0,0,5,,10,10,4,10,,0,0,2,8,,180,18,62,48,15,100,,,,38,44,36,15,,,,,,1,1,1,1,,,0,,,,"1.61",5,5,5,5
File,"TiledWmsLayer.java",1,1,1,1,7,0,6,1,,,,,2,0,0,9,,9,9,1,9,,0,0,2,7,,132,16,81,56,15,35,,,,32,43,33,11,,,,,,1,1,1,1,,,0,,,,"0.43",9,9,9,9
File,"WMTSLayer.java",1,1,1,1,13,0,11,1,,,,,2,1,1,10,,10,9,2,10,,0,1,3,6,,204,19,146,77,67,39,,,,86,108,60,60,,,,,,4,4,4,1,,,2,,,,"0.27",19,19,19,10
File,"WMTSLayerParam.java",2,2,2,1,9,0,8,0,,,,,1,0,0,5,,5,5,11,5,,0,1,0,4,,187,17,75,44,28,95,,,,39,50,33,20,,,,,,5,5,5,5,,,2,,,,"1.27",10,10,12,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map.tiled",1,1,1,1,11,0,6,4,,,,,3,0,0,,3,,19,8,19,,0,1,2,16,,382,40,135,91,39,207,,,,78,97,73,37,,,,,,5,5,5,1,,,4,,,,"1.53",16,16,16,11
Public Abstract Class,"org.mapfish.print.map.tiled.AbstractTiledLayerParams",0,0,0,0,0,0,0,0,1,4,4,2,,0,0,,,,3,1,3,3,0,0,0,3,,32,3,8,7,1,21,,,,4,5,5,0,,,,,,0,0,0,0,,2,0,,0,0,"2.62",0,0,0,0
Public Abstract Method,"org.mapfish.print.map.tiled.AbstractTiledLayerParams.createCommonUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,2,2,0,4,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"2.00",0,0,0,0
Public Abstract Method,"org.mapfish.print.map.tiled.AbstractTiledLayerParams.getBaseUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"3.00",0,0,0,0
Public Abstract Method,"org.mapfish.print.map.tiled.AbstractTiledLayerParams.validateBaseUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,1,1,0,4,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"4.00",0,0,0,0
Public Abstract Class,"org.mapfish.print.map.tiled.AbstractWMXLayerParams",1,1,1,1,9,0,7,2,1,12,12,1,,0,0,,,,6,3,6,9,0,1,0,5,,110,11,49,20,23,50,,,,20,32,16,22,,,,,,5,5,5,1,,3,4,,77,77,"1.02",11,11,11,6
Private Method,"org.mapfish.print.map.tiled.AbstractWMXLayerParams.convertToMultiMap",,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,1,18,5,12,0,11,5,1,9,14,6,12,5,5,5,1,1,,,,,0,,4,0,,,"0.00",5,5,5,1
Public Method,"org.mapfish.print.map.tiled.AbstractWMXLayerParams.createCommonUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,5,3,1,1,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Final Method,"org.mapfish.print.map.tiled.AbstractWMXLayerParams.getCustomParams",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,5,2,3,3,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.60",1,1,1,1
