Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MainRunner.java",5,5,6,3,29,0,28,0,,,,,1,2,0,6,,6,4,0,6,,0,0,0,6,,189,7,178,38,148,4,,,,122,153,38,118,,,,,,8,8,14,5,,,2,,,,"0.02",30,30,38,18
File,"TaxonomyLoader.java",9,9,10,3,74,0,62,11,,,,,1,1,1,7,,7,6,3,7,,0,2,0,5,,556,14,460,94,368,86,,,,304,395,109,327,,,,,,46,46,49,8,,,9,,,,"0.19",69,69,72,21
Package,"opentree",7,7,8,3,53,0,47,6,,,,,2,3,1,,2,,10,3,13,,0,2,0,11,,745,21,638,132,516,90,,,,426,548,147,445,,,,,,46,46,49,8,,,9,,,,"0.14",99,99,110,39
Public Class,"opentree.MainRunner",5,5,6,3,29,0,28,0,1,6,6,0,,2,0,,,,4,0,6,6,0,0,0,6,,184,5,175,35,148,4,,,,119,150,35,118,,,,,,8,8,14,5,,1,2,,0,0,"0.02",30,30,38,18
Public Method,"opentree.MainRunner.graphExplorerParser",,,,,,,,,,,,,,,,,,,,,,,,,,,6,33,0,32,7,27,1,7,5,1,22,27,7,20,5,5,5,5,7,,,,,7,,2,7,,,"0.03",5,5,5,5
Public Method,"opentree.MainRunner.graphImporterParser",,,,,,,,,,,,,,,,,,,,,,,,,,,6,27,0,27,7,23,0,7,4,1,19,23,7,16,4,4,4,3,4,,,,,3,,2,3,,,"0.00",4,4,4,3
Public Static Method,"opentree.MainRunner.main",,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,0,25,2,20,3,9,12,1,12,20,2,19,8,8,14,1,5,,,,,0,,2,0,,,"0.12",8,8,14,1
Public Static Method,"opentree.MainRunner.printHelp",,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,0,21,1,19,0,2,1,0,19,20,1,19,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"opentree.MainRunner.taxonomyLoadParser",,,,,,,,,,,,,,,,,,,,,,,,,,,7,27,0,27,6,22,0,8,5,1,17,22,6,18,5,5,5,5,6,,,,,6,,2,6,,,"0.00",5,5,5,5
Public Method,"opentree.MainRunner.taxonomyQueryParser",,,,,,,,,,,,,,,,,,,,,,,,,,,6,41,0,41,11,37,0,8,7,1,30,37,11,26,7,7,9,3,6,,,,,2,,1,2,,,"0.00",7,7,9,3
Public Class,"opentree.TaxonomyLoader",9,9,10,3,74,0,62,11,1,16,16,0,,1,1,,,,6,3,7,7,0,2,0,5,,540,11,447,81,368,86,,,,291,382,96,327,,,,,,46,46,49,8,,2,9,,75,46,"0.19",69,69,72,21
Public Constructor,"opentree.TaxonomyLoader.TaxonomyLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,4,1,2,4,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"opentree.TaxonomyLoader.addAdditionalTaxonomyTableIntoGraph",,,,,,,,,,,,,,,,,,,,,,,,,,,15,325,3,278,45,237,48,28,608087058,9,175,235,53,206,46,46,49,5,10,,,,,6,,9,3,,,"0.17",46,46,49,5
Private Method,"opentree.TaxonomyLoader.addBatchOfNewNodes",,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,0,18,3,13,0,11,2,0,13,16,4,13,2,2,2,1,0,,,,,0,,2,0,,,"0.00",2,2,2,1
Public Method,"opentree.TaxonomyLoader.addInitialTaxonomyTableIntoGraph",,,,,,,,,,,,,,,,,,,,,,,,,,,11,122,0,107,16,87,15,18,226,2,70,90,21,81,14,14,14,8,5,,,,,5,,6,3,,,"0.14",14,14,14,8
Public Static Method,"opentree.TaxonomyLoader.main",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,9,5,7,1,4,1,0,7,8,5,4,1,1,1,1,0,,,,,0,,0,0,,,"0.11",1,1,1,1
Public Method,"opentree.TaxonomyLoader.runittest",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,1,5,0,4,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"opentree.TaxonomyLoader.stepsToMatch",,,,,,,,,,,,,,,,,,,,,,,,,,,4,29,0,17,4,12,12,5,4,1,15,19,6,14,4,4,4,4,5,,,,,5,,3,5,,,"0.71",4,4,4,4
