Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PmdRunnable.java",1,1,1,1,8,0,8,0,,,,,2,2,1,9,,9,7,8,9,,0,2,0,7,,128,21,105,49,47,2,,,,60,77,44,39,,,,,,6,6,6,1,,,2,,,,"0.02",16,16,16,9
Package,"net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.processor",1,1,1,1,8,0,8,0,,,,,2,2,1,,1,,7,8,9,,0,2,0,7,,128,21,105,49,47,2,,,,60,77,44,39,,,,,,6,6,6,1,,,2,,,,"0.02",16,16,16,9
Public Class,"net.sourceforge.pmd.processor.PmdRunnable",2,2,2,1,11,1,10,0,2,22,22,0,,2,1,,,,3,4,5,5,0,2,0,3,,107,18,87,31,47,2,,,,42,59,26,39,,,,,,6,6,6,1,,2,1,,55,50,"0.02",10,10,10,5
Public Constructor,"net.sourceforge.pmd.processor.PmdRunnable.PmdRunnable",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,3,5,0,5,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"net.sourceforge.pmd.processor.PmdRunnable.PmdThread",1,1,1,1,6,0,6,0,1,7,7,0,,0,0,,,,4,4,4,4,0,0,0,4,,35,5,30,11,12,0,,,,13,20,9,11,,,,,,3,3,3,1,,2,2,,56,56,"0.00",6,6,6,4
Public Constructor,"net.sourceforge.pmd.processor.PmdRunnable.PmdThread.PmdThread",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,2,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.processor.PmdRunnable.PmdThread.getRuleContext",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.processor.PmdRunnable.PmdThread.getRuleSets",,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,10,1,6,0,4,3,0,3,6,1,5,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"net.sourceforge.pmd.processor.PmdRunnable.PmdThread.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"net.sourceforge.pmd.processor.PmdRunnable.addError",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,1,4,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"net.sourceforge.pmd.processor.PmdRunnable.addErrorAndShutdown",,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,0,5,1,3,1,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Method,"net.sourceforge.pmd.processor.PmdRunnable.call",,,,,,,,,,,,,,,,,,,,,,,,,,,9,31,5,26,7,21,0,18,16,1,14,19,7,17,6,6,6,1,6,,,,,0,,1,0,,,"0.00",6,6,6,1
Public Static Method,"net.sourceforge.pmd.processor.PmdRunnable.createThread",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
