Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExtNumbers.java",9,9,12,3,36,1,31,4,,,,,1,4,11,33,,33,29,12,33,,0,19,0,14,,1325,87,1092,264,855,175,,,,642,944,295,757,,,,,,53,53,64,26,,,8,,,,"0.16",323,319,403,115
File,"HousenumberGenerator.java",8,8,10,5,39,1,32,4,,,,,4,16,6,29,,29,13,5,29,,0,16,0,13,,1244,91,989,251,743,167,,,,540,814,279,669,,,,,,30,26,35,16,,,7,,,,"0.17",257,249,298,152
File,"HousenumberRoad.java",8,8,10,3,32,1,29,2,,,,,2,1,1,14,,14,13,5,14,,0,4,0,10,,509,40,416,89,312,53,,,,233,346,102,272,,,,,,54,54,76,14,,,8,,,,"0.13",118,114,142,54
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap.osmstyle",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap.osmstyle.housenumber",9,8,11,4,37,1,31,4,,,,,7,21,18,,3,,55,22,76,,0,39,0,37,,3078,218,2497,604,1910,395,,,,1415,2104,676,1698,,,,,,54,54,76,26,,,8,,,,"0.16",698,682,843,321
Public Class,"uk.me.parabola.mkgmap.osmstyle.housenumber.ExtNumbers",9,9,12,3,36,1,31,4,1,22,22,0,,4,11,,,,29,12,33,33,0,19,0,14,,1292,83,1075,247,855,163,,,,625,927,278,757,,,,,,53,53,64,26,,1,8,,76,43,"0.15",323,319,403,115
Public Constructor,"uk.me.parabola.mkgmap.osmstyle.housenumber.ExtNumbers.ExtNumbers",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"uk.me.parabola.mkgmap.osmstyle.housenumber.ExtNumbers.addAsNumberNode",,,,,,,,,,,,,,,,,,,,,,,,,,,8,20,1,12,2,9,7,8,2,0,8,10,2,8,2,2,2,1,0,,,,,0,,1,0,,,"0.58",2,2,2,1
Private Method,"uk.me.parabola.mkgmap.osmstyle.housenumber.ExtNumbers.calcSearchPositions",,,,,,,,,,,,,,,,,,,,,,,,,,,7,36,0,36,11,29,0,11,16,1,22,31,12,24,13,13,14,7,7,,,,,7,,5,7,,,"0.00",13,13,14,7
Public Method,"uk.me.parabola.mkgmap.osmstyle.housenumber.ExtNumbers.checkChainPlausibility",,,,,,,,,,,,,,,,,,,,,,,,,,,14,56,1,54,7,43,1,6,565,3,28,44,9,39,20,16,20,17,47,,,,,47,,7,47,,,"0.02",20,16,20,17
Private Static Method,"uk.me.parabola.mkgmap.osmstyle.housenumber.ExtNumbers.checkIntervalBoundaries",,,,,,,,,,,,,,,,,,,,,,,,,,,6,48,0,35,2,29,33,1,48,2,20,45,2,43,25,25,44,1,17,,,,,0,,3,0,,,"0.94",25,25,44,1
Public Static Method,"uk.me.parabola.mkgmap.osmstyle.housenumber.ExtNumbers.checkIntervals",,,,,,,,,,,,,,,,,,,,,,,,,,,21,190,7,170,48,142,13,48,356937,6,107,143,51,125,50,50,64,13,25,,,,,25,,8,21,,,"0.08",50,50,64,13
