Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TestResponseCachingPolicy.java",1,1,1,1,7,0,6,0,,,,,1,0,1,74,,74,74,7,74,,0,1,0,73,,666,104,533,183,288,30,,,,304,379,108,281,,,,,,1,1,1,1,,,0,,,,"0.06",74,74,74,74
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.http",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.http.impl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.http.impl.client",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.http.impl.client.cache",1,1,1,1,7,0,6,0,,,,,1,0,1,,1,,74,7,74,,0,1,0,73,,666,104,533,183,288,30,,,,304,379,108,281,,,,,,1,1,1,1,,,0,,,,"0.06",74,74,74,74
Public Class,"org.apache.http.impl.client.cache.TestResponseCachingPolicy",1,1,1,1,7,0,6,0,1,17,17,0,,0,1,,,,74,7,74,74,0,1,0,73,,621,101,517,167,288,4,,,,288,363,92,281,,,,,,1,1,1,1,,1,0,,57,56,"0.01",74,74,74,74
Private Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getRandomStatus",,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,4,2,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getsWithQueryParametersDirectlyFrom1_0OriginsAreCacheableWithExpires",,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,0,8,2,5,0,6,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getsWithQueryParametersDirectlyFrom1_0OriginsAreNotCacheable",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,2,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getsWithQueryParametersDirectlyFrom1_0OriginsAreNotCacheableEvenWithSetting",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,2,4,0,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getsWithQueryParametersDirectlyFrom1_0OriginsCanBeNotCacheableEvenWithExpires",,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,9,2,6,0,7,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getsWithQueryParametersFrom1_0OriginsViaExplicitProxiesAreCacheableWithExpires",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,5,0,5,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getsWithQueryParametersFrom1_0OriginsViaExplicitProxiesCanNotBeCacheableEvenWithExpires",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,2,6,0,6,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.http.impl.client.cache.TestResponseCachingPolicy.getsWithQueryParametersFrom1_0OriginsViaProxiesAreCacheableWithExpires",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,5,0,5,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
