Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"XMLRenderer.java",2,2,2,1,17,1,15,1,,,,,1,0,0,4,,4,4,0,4,,0,3,0,1,,88,12,71,18,47,8,,,,53,62,20,48,,,,,,6,6,6,1,,,3,,,,"0.11",10,10,11,4
Package,"net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.renderers",2,2,2,1,17,1,15,1,,,,,1,0,0,,1,,4,0,4,,0,3,0,1,,88,12,71,18,47,8,,,,53,62,20,48,,,,,,6,6,6,1,,,3,,,,"0.11",10,10,11,4
Public Class,"net.sourceforge.pmd.renderers.XMLRenderer",2,2,2,1,17,1,15,1,2,10,10,0,,0,0,,,,4,0,4,4,0,3,0,1,,77,9,63,10,47,8,,,,45,54,12,48,,,,,,6,6,6,1,,1,3,,0,0,"0.13",10,10,11,4
Private Method,"net.sourceforge.pmd.renderers.XMLRenderer.createTimestampAttr",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"net.sourceforge.pmd.renderers.XMLRenderer.createVersionAttr",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"net.sourceforge.pmd.renderers.XMLRenderer.maybeAdd",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,1,4,0,3,2,0,3,5,1,4,2,2,3,1,0,,,,,0,,1,0,,,"0.00",2,2,3,1
Public Method,"net.sourceforge.pmd.renderers.XMLRenderer.render",,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,6,47,5,40,5,24,16,1,39,43,7,41,6,6,6,1,0,,,,,0,,3,0,,,"0.11",6,6,6,1
