Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PermissionGroup.java",2,2,2,1,10,1,7,2,,,,,1,0,1,54,,61,61,2,61,,0,1,6,54,,696,134,415,106,214,152,,,,165,304,116,207,,,,,,9,9,15,8,,,3,,,,"0.37",117,117,134,88
File,"PermissionUser.java",2,2,2,1,13,1,8,2,,,,,1,0,1,65,,71,71,6,71,,0,1,10,60,,991,198,596,149,335,218,,,,249,436,155,327,,,,,,10,10,16,9,,,4,,,,"0.37",165,165,193,115
Package,"ru",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ru.tehkode",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ru.tehkode.permissions",2,2,2,1,11,1,8,2,,,,,2,0,2,,2,,132,8,132,,0,2,16,114,,1687,332,1011,255,549,370,,,,414,740,271,534,,,,,,10,10,16,9,,,4,,,,"0.37",282,282,327,203
Public Abstract Class,"ru.tehkode.permissions.PermissionGroup",2,2,2,1,10,1,7,2,2,15,15,0,,0,1,,,,61,2,61,61,0,1,6,54,,664,131,404,95,214,134,,,,154,293,105,207,,,,,,9,9,15,8,,2,3,,97,95,"0.33",117,117,134,88
Public Constructor,"ru.tehkode.permissions.PermissionGroup.PermissionGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.tehkode.permissions.PermissionGroup.addPermission",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,3,9,3,5,0,7,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"ru.tehkode.permissions.PermissionGroup.addTimedPermission",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,5,2,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"ru.tehkode.permissions.PermissionGroup.clearChildren",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,2,10,2,6,0,8,4,1,4,9,4,6,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Protected Method,"ru.tehkode.permissions.PermissionGroup.clearMembersCache",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,2,0,2,2,0,1,4,2,2,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"ru.tehkode.permissions.PermissionGroup.compareTo",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"ru.tehkode.permissions.PermissionGroup.copyFilterPermissions",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,4,0,2,3,0,2,6,2,4,3,3,3,3,1,,,,,1,,2,1,,,"0.00",3,3,3,3
Public Method,"ru.tehkode.permissions.PermissionGroup.getAllParentGroups",,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,3,8,2,5,0,4,2,0,4,7,3,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"ru.tehkode.permissions.PermissionGroup.getChildGroups",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"ru.tehkode.permissions.PermissionGroup.getChildGroups",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.tehkode.permissions.PermissionGroup.getDescendantGroups",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
