Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DictionaryImportAction.java",1,1,1,1,11,0,6,4,,,,,1,0,1,5,,5,5,1,5,,0,1,0,4,,164,21,55,36,19,88,,,,35,43,31,17,,,,,,3,3,3,1,,,1,,,,"1.60",8,8,8,5
File,"DictionaryImportWorker.java",2,2,2,1,13,1,11,0,,,,,1,0,0,5,,5,5,4,5,,0,2,1,2,,126,15,80,33,42,31,,,,52,64,32,36,,,,,,5,5,5,1,,,2,,,,"0.39",11,11,13,5
Package,"gov",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc.mct",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc.mct.data",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nasa.arc.mct.data.action",1,1,2,1,12,0,9,2,,,,,2,0,1,,2,,10,5,10,,0,3,1,6,,290,36,135,69,61,119,,,,87,107,63,53,,,,,,5,5,5,1,,,2,,,,"0.88",19,19,21,10
Public Class,"gov.nasa.arc.mct.data.action.DictionaryImportAction",1,1,1,1,11,0,6,4,1,11,11,0,,0,1,,,,5,1,5,5,0,1,0,4,,142,17,37,18,19,88,,,,17,25,13,17,,,,,,3,3,3,1,,2,1,,60,60,"2.38",8,8,8,5
Public Constructor,"gov.nasa.arc.mct.data.action.DictionaryImportAction.DictionaryImportAction",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.actionPerformed",,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,2,13,8,8,13,7,2,0,6,8,5,7,2,2,2,1,0,,,,,0,,1,0,,,"1.00",2,2,2,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.canHandle",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.isEnabled",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"gov.nasa.arc.mct.data.action.DictionaryImportAction.selectFile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,1,8,2,6,9,6,2,0,5,7,2,6,3,3,3,1,1,,,,,0,,1,0,,,"1.12",3,3,3,1
Public Class,"gov.nasa.arc.mct.data.action.DictionaryImportWorker",2,2,2,1,13,1,11,0,1,17,17,0,,0,0,,,,5,4,5,5,0,2,1,2,,107,11,65,18,42,31,,,,37,49,17,36,,,,,,5,5,5,1,,2,2,,60,40,"0.48",11,11,13,5
Public Constructor,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.DictionaryImportWorker",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,1,9,1,6,0,6,2,0,5,7,1,6,2,2,3,1,0,,,,,0,,1,0,,,"0.00",2,2,3,1
Private Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.createDataComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,1,13,3,10,0,11,2,0,9,11,3,10,2,2,3,1,0,,,,,0,,1,0,,,"0.00",2,2,3,1
Protected Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.doInBackground",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,7,3,4,0,4,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.getException",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"gov.nasa.arc.mct.data.action.DictionaryImportWorker.parseDictionary",,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,2,27,5,21,1,9,9,1,14,19,5,15,5,5,5,1,2,,,,,0,,2,0,,,"0.04",5,5,5,1
