Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConCmpt.java",2,2,2,1,22,4,17,1,,,,,11,3,4,21,,21,18,18,21,,0,0,5,16,,629,125,441,122,297,80,,,,265,337,122,248,,,,,,8,8,8,4,,,3,,,,"0.18",62,62,62,30
File,"ConCmptBlock.java",2,2,2,1,19,3,15,1,,,,,11,2,4,22,,22,20,21,22,,0,0,6,16,,604,129,401,126,265,89,,,,252,318,129,236,,,,,,9,9,11,6,,,4,,,,"0.22",55,55,57,34
File,"ConCmptIVGen.java",1,1,1,1,15,3,11,0,,,,,3,2,0,8,,8,6,6,8,,0,0,2,6,,195,42,119,40,69,35,,,,78,96,41,64,,,,,,3,3,3,3,,,2,,,,"0.29",15,15,15,10
File,"DegDist.java",2,2,2,1,15,3,11,0,,,,,5,2,3,11,,11,9,8,11,,0,0,3,8,,258,59,163,51,99,39,,,,96,124,51,88,,,,,,5,5,5,1,,,2,,,,"0.24",23,23,23,11
File,"GIMV.java",4,4,5,1,21,3,17,0,,,,,4,19,0,24,,22,5,7,24,,0,0,0,24,,638,128,455,152,302,67,,,,301,415,156,326,,,,,,15,15,16,5,,,5,,,,"0.15",114,114,124,41
File,"Hadi.java",4,4,4,1,25,4,20,1,,,,,16,15,3,40,,38,25,36,40,,0,2,6,32,,1246,240,915,276,636,131,,,,600,770,274,564,,,,,,18,18,18,5,,,4,,,,"0.14",160,160,164,71
File,"HadiBlock.java",2,2,2,1,23,4,18,1,,,,,9,2,3,21,,21,19,33,21,,0,0,6,15,,663,129,463,156,334,86,,,,330,401,157,300,,,,,,10,10,10,6,,,5,,,,"0.19",62,62,62,33
File,"HadiIVGen.java",2,2,2,1,17,3,13,0,,,,,3,2,0,9,,9,7,10,9,,0,0,2,7,,234,47,152,52,96,37,,,,102,125,53,85,,,,,,4,4,4,3,,,2,,,,"0.24",20,20,20,11
File,"JoinTablePegasus.java",3,3,3,1,18,3,15,0,,,,,3,2,2,8,,8,6,10,8,,0,0,2,6,,221,46,150,52,101,29,,,,99,126,55,89,,,,,,7,7,7,3,,,2,,,,"0.19",24,24,24,10
File,"L1norm.java",1,1,1,1,14,3,11,0,,,,,2,2,0,5,,5,3,1,5,,0,0,2,3,,126,29,72,25,39,25,,,,43,53,25,35,,,,,,3,3,3,1,,,2,,,,"0.35",8,8,8,5
