Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CachingPersonAttributeDaoTest.java",1,1,1,1,28,6,21,1,,,,,1,0,1,11,,11,11,1,11,,0,2,3,6,,355,88,248,47,207,19,,,,204,221,47,201,,,,,,4,4,4,1,,,1,,,,"0.08",16,16,16,11
File,"CascadingPersonAttributeDaoTest.java",1,1,1,1,22,4,16,1,,,,,1,0,0,6,,6,6,3,6,,0,0,3,3,,167,38,112,39,83,17,,,,89,98,38,81,,,,,,2,2,2,1,,,1,,,,"0.15",8,8,8,6
File,"ComplexStubPersonAttributeDao.java",1,1,1,1,7,0,5,1,,,,,1,0,0,7,,7,7,2,7,,0,1,0,6,,90,15,46,18,19,29,,,,24,34,19,18,,,,,,2,2,2,1,,,1,,,,"0.63",10,10,10,7
File,"ComplexStubPersonAttributeDaoTest.java",1,1,1,1,14,2,8,3,,,,,1,0,0,5,,5,5,2,5,,0,0,2,3,,103,25,51,21,31,27,,,,38,44,20,31,,,,,,1,1,1,1,,,0,,,,"0.53",5,5,5,5
File,"JdbcPersonAttributeDaoImpl.java",2,2,2,1,18,2,9,7,,,,,2,0,0,10,,10,10,4,10,,0,1,1,8,,271,44,119,47,65,108,,,,77,100,51,65,,,,,,5,5,7,1,,,1,,,,"0.91",24,24,28,10
File,"JdbcPersonAttributeDaoImplTest.java",1,1,1,1,24,4,17,2,,,,,1,0,0,15,,15,15,1,15,,0,0,3,12,,422,87,286,110,217,49,,,,197,218,97,174,,,,,,2,2,2,1,,,1,,,,"0.17",20,20,20,15
File,"LdapPersonAttributeDaoImplTest.java",1,1,1,1,23,6,15,1,,,,,1,0,0,14,,14,14,1,14,,0,0,3,11,,381,104,236,88,188,42,,,,197,214,87,175,,,,,,2,2,2,1,,,1,,,,"0.18",16,16,16,14
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jasig",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jasig.portal",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jasig.portal.services",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
