Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JavaStringByteObjectInspector.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,64,13,36,16,12,15,,,,13,22,11,11,,,,,,3,3,3,3,,,1,,,,"0.42",8,8,8,7
File,"JavaStringDoubleObjectInspector.java",1,1,1,1,6,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,62,11,36,16,12,15,,,,13,22,11,11,,,,,,3,3,3,3,,,1,,,,"0.42",8,8,8,7
File,"JavaStringFloatObjectInspector.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,61,10,36,16,12,15,,,,13,22,11,11,,,,,,3,3,3,3,,,1,,,,"0.42",8,8,8,7
File,"JavaStringIntObjectInspector.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,61,9,37,17,12,15,,,,13,22,11,11,,,,,,3,3,3,3,,,1,,,,"0.41",8,8,8,7
File,"JavaStringLongObjectInspector.java",1,1,1,1,6,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,62,10,37,17,12,15,,,,13,22,11,11,,,,,,3,3,3,3,,,1,,,,"0.41",8,8,8,7
File,"JavaStringShortObjectInspector.java",1,1,1,1,6,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,62,10,37,17,12,15,,,,13,22,11,11,,,,,,3,3,3,3,,,1,,,,"0.41",8,8,8,7
File,"JavaStringTimestampObjectInspector.java",1,1,1,1,5,0,5,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,79,15,49,23,15,15,,,,17,29,15,14,,,,,,3,3,3,3,,,1,,,,"0.31",11,11,11,10
File,"JsonStringJavaObjectInspector.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,0,7,,1,0,0,6,,63,11,36,21,7,16,,,,12,20,13,7,,,,,,2,2,2,1,,,0,,,,"0.44",10,10,10,7
File,"ParsePrimitiveUtils.java",2,2,2,1,7,0,7,0,,,,,1,6,0,6,,6,0,0,6,,0,0,0,6,,68,9,48,11,25,11,,,,17,30,11,19,,,,,,3,3,3,1,,,1,,,,"0.23",12,12,13,6
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
