Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"HttpBrowserCompatibleMultipart.java",1,1,1,1,11,0,6,4,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,87,9,33,23,9,45,,,,20,25,20,9,,,,,,2,2,2,1,,,1,,,,"1.36",4,4,4,3
File,"HttpMultipart.java",1,1,1,1,9,0,7,2,,,,,1,6,3,18,,18,12,5,18,,0,7,0,11,,260,31,155,63,81,74,,,,85,116,56,76,,,,,,7,6,7,4,,,3,,,,"0.48",29,28,29,21
File,"HttpMultipartFactory.java",2,1,2,1,8,0,7,1,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,57,6,18,7,7,33,,,,5,9,5,4,,,,,,3,2,3,1,,,1,,,,"1.83",4,3,4,2
File,"HttpMultipartForm.java",1,1,1,1,8,0,6,1,,,,,1,6,3,16,,17,11,4,17,,0,5,3,9,,227,29,132,57,65,66,,,,74,99,49,62,,,,,,4,4,4,4,,,2,,,,"0.50",23,23,23,19
File,"HttpStrictMultipart.java",1,1,1,1,9,0,5,4,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,82,9,29,20,5,44,,,,16,22,18,5,,,,,,2,2,2,1,,,1,,,,"1.52",4,4,4,3
File,"MultipartEntity.java",1,1,1,1,6,0,5,1,,,,,1,0,1,18,,18,18,4,18,,0,0,3,15,,203,26,119,52,50,60,,,,58,84,44,48,,,,,,3,3,3,3,,,2,,,,"0.50",27,27,27,20
File,"TestMultipartForm.java",1,1,1,1,43,4,39,0,,,,,1,1,2,6,,6,5,0,6,,0,1,0,5,,323,39,257,93,210,27,,,,115,129,69,102,,,,,,3,3,3,1,,,2,,,,"0.11",9,9,9,6
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.http",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
