Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"RequestMapping.java",5,5,6,1,26,2,19,4,,,,,1,0,1,22,,22,22,15,22,,0,1,1,20,,689,80,487,158,303,126,,,,262,395,189,285,,,,,,93,93,114,9,,,4,,,,"0.26",118,118,142,30
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate.modules",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate.modules.spring_web",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate.modules.spring_web.model",5,5,6,1,26,2,19,4,,,,,1,0,1,,1,,22,15,22,,0,1,1,20,,689,80,487,158,303,126,,,,262,395,189,285,,,,,,93,93,114,9,,,4,,,,"0.26",118,118,142,30
Public Class,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping",5,5,6,1,26,2,19,4,3,62,62,0,,0,1,,,,22,15,22,22,0,1,1,20,,650,77,451,122,303,126,,,,226,359,153,285,,,,,,93,93,114,9,,2,4,,90,90,"0.28",118,118,142,30
Public Constructor,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.RequestMapping",,,,,,,,,,,,,,,,,,,,,,,,,,,22,408,52,345,75,259,15,88,999999999,16,176,282,106,243,93,93,114,9,14,,,,,11,,4,5,,,"0.04",93,93,114,9
Protected Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.createParamDocComment",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getConsumesMediaTypes",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getContext",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getEntityParameter",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getFacets",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getFullpath",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,7,2,4,5,5,2,0,3,6,3,4,2,2,2,1,0,,,,,0,,1,0,,,"0.71",2,2,2,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getHttpMethods",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getLabel",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getMetaData",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getParent",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getPathSegments",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getProducesMediaTypes",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getRepresentationMetadata",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getRequestParameters",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getResponseHeaders",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getSecurityRoles",,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,1,12,4,8,5,6,4,1,6,9,4,8,3,3,3,1,0,,,,,0,,1,0,,,"0.42",3,3,3,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getServletPattern",,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,0,12,4,8,5,7,2,0,6,8,4,7,2,2,2,1,1,,,,,0,,1,0,,,"0.42",2,2,2,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getStatusCodes",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.getWarnings",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
