Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ShortVariableRuleTest.java",1,1,1,1,3,0,3,0,,,,,1,0,5,6,,6,6,1,6,,0,0,0,6,,65,10,55,22,31,5,,,,17,24,17,7,,,,,,1,1,1,1,,,0,,,,"0.09",6,6,6,6
File,"WhileLoopsMustUseBracesRuleTest.java",1,1,1,1,3,0,3,0,,,,,1,0,2,3,,3,3,1,3,,0,0,0,3,,42,8,34,13,19,1,,,,11,15,11,4,,,,,,1,1,1,1,,,0,,,,"0.03",3,3,3,3
Package,"test",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"test.net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"test.net.sourceforge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"test.net.sourceforge.pmd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"test.net.sourceforge.pmd.rules",1,1,1,1,3,0,3,0,,,,,2,0,7,,2,,9,2,9,,0,0,0,9,,107,18,89,35,50,6,,,,28,39,28,11,,,,,,1,1,1,1,,,0,,,,"0.07",9,9,9,9
Public Class,"test.net.sourceforge.pmd.rules.ShortVariableRuleTest",1,1,1,1,3,0,3,0,1,5,5,0,,0,5,,,,6,1,6,6,0,0,0,6,,59,8,51,18,31,5,,,,13,20,13,7,,,,,,1,1,1,1,,2,0,,0,0,"0.10",6,6,6,6
Public Method,"test.net.sourceforge.pmd.rules.ShortVariableRuleTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,1,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"test.net.sourceforge.pmd.rules.ShortVariableRuleTest.testShortVariableField",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"test.net.sourceforge.pmd.rules.ShortVariableRuleTest.testShortVariableFor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"test.net.sourceforge.pmd.rules.ShortVariableRuleTest.testShortVariableLocal",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"test.net.sourceforge.pmd.rules.ShortVariableRuleTest.testShortVariableNone",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"test.net.sourceforge.pmd.rules.ShortVariableRuleTest.testShortVariableParam",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"test.net.sourceforge.pmd.rules.WhileLoopsMustUseBracesRuleTest",1,1,1,1,3,0,3,0,1,5,5,0,,0,2,,,,3,1,3,3,0,0,0,3,,36,6,30,9,19,1,,,,7,11,7,4,,,,,,1,1,1,1,,2,0,,0,0,"0.03",3,3,3,3
Public Method,"test.net.sourceforge.pmd.rules.WhileLoopsMustUseBracesRuleTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,1,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"test.net.sourceforge.pmd.rules.WhileLoopsMustUseBracesRuleTest.test1",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"test.net.sourceforge.pmd.rules.WhileLoopsMustUseBracesRuleTest.test2",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
