Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractOozieEntityMapper.java",1,1,1,1,8,0,8,0,,,,,1,0,8,17,,19,19,1,19,,0,1,17,1,,245,38,189,82,107,18,,,,119,152,81,93,,,,,,3,3,3,1,,,2,,,,"0.10",27,27,27,17
File,"EntityInstanceMessage.java",1,1,1,1,6,0,6,0,,,,,3,4,4,43,,39,39,22,43,,0,6,0,37,,400,62,300,87,181,38,,,,124,177,77,112,,,,,,4,4,5,4,,,2,,,,"0.13",50,50,52,44
File,"FeedProducerTest.java",1,1,1,1,17,1,15,0,,,,,2,0,3,8,,8,8,7,8,,0,3,0,5,,196,28,148,60,94,21,,,,114,125,52,84,,,,,,5,5,5,1,,,1,,,,"0.14",15,15,15,8
File,"IvoryCLITest.java",1,1,1,1,23,3,18,0,,,,,1,0,9,21,,21,21,3,21,,0,4,1,16,,571,112,433,108,336,29,,,,207,239,91,178,,,,,,5,5,5,1,,,2,,,,"0.07",30,30,30,21
File,"IvoryTopicProducerTest.java",1,1,1,1,15,1,14,0,,,,,2,0,3,6,,6,6,3,6,,0,2,0,4,,131,15,97,41,60,20,,,,70,79,35,51,,,,,,3,3,3,1,,,1,,,,"0.21",10,10,10,6
File,"IvoryTopicSubscriber.java",1,1,1,1,13,1,11,0,,,,,1,2,5,8,,8,6,6,8,,0,1,0,7,,171,24,126,71,71,21,,,,73,86,57,41,,,,,,3,3,3,1,,,2,,,,"0.17",12,12,12,8
File,"LogMover.java",2,2,4,1,22,0,21,0,,,,,2,1,1,5,,5,4,6,5,,0,3,0,2,,179,15,146,68,87,18,,,,99,116,66,73,,,,,,6,6,8,3,,,4,,,,"0.12",14,14,22,7
File,"MessageProducer.java",2,2,2,1,20,2,15,3,,,,,1,2,1,4,,4,2,1,4,,0,2,1,1,,127,20,73,33,42,34,,,,36,48,25,31,,,,,,6,6,6,1,,,2,,,,"0.47",11,11,11,4
File,"ProcessInstanceManager.java",2,2,2,1,17,1,16,0,,,,,1,0,1,14,,14,14,0,14,,0,6,1,7,,330,39,270,144,146,23,,,,144,179,95,128,,,,,,6,6,6,1,,,3,,,,"0.09",37,37,39,14
File,"ProcessProducerTest.java",1,1,1,1,16,1,15,0,,,,,2,0,3,6,,6,6,3,6,,0,2,0,4,,140,18,103,41,66,20,,,,77,86,35,58,,,,,,3,3,3,1,,,1,,,,"0.19",11,11,11,6
