Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Multibinder.java",1,1,1,1,7,0,5,1,,,,,3,9,0,35,,37,28,9,37,,7,5,1,24,,459,53,255,110,113,154,,,,120,172,96,87,,,,,,3,3,4,3,,,2,,,,"0.60",48,48,57,37
File,"MultibinderTest.java",1,1,1,1,13,0,11,0,,,,,43,0,0,57,,57,57,8,57,,0,1,30,26,,679,76,544,239,363,59,,,,323,397,230,280,,,,,,6,6,6,1,,,3,,,,"0.11",67,67,67,57
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google.inject",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google.inject.multibindings",1,1,1,1,10,0,9,0,,,,,46,9,0,,2,,85,17,94,,7,6,31,50,,1138,129,799,349,476,213,,,,443,569,326,367,,,,,,6,6,6,3,,,3,,,,"0.27",115,115,124,94
Public Abstract Generic Class,"com.google.inject.multibindings.Multibinder",1,1,1,1,8,0,5,2,1,18,18,1,,9,0,,,,3,0,12,12,3,1,0,8,,422,48,223,78,113,154,,,,88,140,64,87,,,,,,2,2,2,1,,1,1,,0,0,"0.69",12,12,12,10
Private Constructor,"com.google.inject.multibindings.Multibinder.Multibinder",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"com.google.inject.multibindings.Multibinder.PermitDuplicatesModule",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,4,1,4,4,1,0,1,2,,26,4,17,7,5,5,,,,5,10,6,4,,,,,,1,1,2,1,,2,0,,0,0,"0.29",4,4,5,4
Constructor,"com.google.inject.multibindings.Multibinder.PermitDuplicatesModule.PermitDuplicatesModule",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"com.google.inject.multibindings.Multibinder.PermitDuplicatesModule.configure",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.google.inject.multibindings.Multibinder.PermitDuplicatesModule.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Public Method,"com.google.inject.multibindings.Multibinder.PermitDuplicatesModule.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Static Final Generic Class,"com.google.inject.multibindings.Multibinder.RealMultibinder",1,1,1,1,7,0,6,0,3,31,31,0,,0,0,,,,21,8,21,33,3,4,0,14,,212,29,148,45,80,37,,,,59,93,40,59,,,,,,3,3,4,3,,2,2,,79,73,"0.25",32,32,40,23
Private Constructor,"com.google.inject.multibindings.Multibinder.RealMultibinder.RealMultibinder",,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,7,1,5,0,11,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"com.google.inject.multibindings.Multibinder.RealMultibinder.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Generic Method,"com.google.inject.multibindings.Multibinder.RealMultibinder.acceptExtensionVisitor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,4,4,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
TypeVariable,"com.google.inject.multibindings.Multibinder.RealMultibinder.acceptExtensionVisitor.B",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
