Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FileChooser.java",2,2,3,2,14,0,14,1,,,,,14,9,7,52,,60,51,13,60,,9,3,3,45,,892,82,756,200,378,83,,,,350,515,206,354,,,,,,11,11,13,10,,,4,,,,"0.11",154,149,166,114
File,"GmMenuBar.java",3,3,3,1,39,3,35,10,,,,,1,1,2,4,,4,3,2,4,,0,0,0,4,,212,22,176,48,111,52,,,,121,140,50,106,,,,,,5,5,5,1,,,3,,,,"0.30",14,14,14,4
File,"LGM.java",3,3,3,1,21,1,19,2,,,,,36,62,60,125,,135,73,23,135,,16,10,1,108,,2929,281,2433,633,1529,346,,,,1344,1834,702,1340,,,,,,70,70,72,10,,,12,,,,"0.14",463,461,496,193
File,"Listener.java",5,5,5,3,23,0,21,2,,,,,6,14,2,30,,30,16,5,30,,0,1,5,24,,815,58,707,159,391,98,,,,324,492,162,389,,,,,,61,61,65,37,,,4,,,,"0.14",162,162,174,103
File,"ProjectFile.java",1,1,1,1,7,0,7,0,,,,,5,6,34,20,,21,15,16,21,,1,0,0,20,,420,44,348,176,167,28,,,,222,279,171,143,,,,,,7,6,7,1,,,2,,,,"0.08",38,33,38,20
File,"Tile.java",1,1,1,1,5,0,5,0,,,,,3,0,1,34,,32,34,23,34,,0,0,1,33,,277,40,220,82,80,18,,,,96,147,74,85,,,,,,7,7,7,7,,,3,,,,"0.08",50,50,50,38
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.lateralgm",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.lateralgm.components",3,3,3,1,39,3,35,10,,,,,1,1,2,,1,,3,2,4,,0,0,0,4,,212,22,176,48,111,52,,,,121,140,50,106,,,,,,5,5,5,1,,,3,,,,"0.30",14,14,14,4
Public Class,"org.lateralgm.components.GmMenuBar",3,3,3,1,39,3,35,10,1,26,26,0,,1,2,,,,3,2,4,4,0,0,0,4,,176,17,154,26,111,43,,,,99,118,28,106,,,,,,5,5,5,1,,2,3,,50,37,"0.28",14,14,14,4
Public Constructor,"org.lateralgm.components.GmMenuBar.GmMenuBar",,,,,,,,,,,,,,,,,,,,,,,,,,,6,90,12,73,10,68,40,14,6,1,66,72,11,70,5,5,5,1,0,,,,,0,,3,0,,,"0.55",5,5,5,1
Public Method,"org.lateralgm.components.GmMenuBar.setRecentMenuEnabled",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,1,3,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Static Final Method,"org.lateralgm.components.GmMenuBar.setTextAndAlt",,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,0,15,3,8,1,10,2,0,6,8,3,7,2,2,2,1,1,,,,,0,,1,0,,,"0.07",2,2,2,1
Public Method,"org.lateralgm.components.GmMenuBar.updateRecentFiles",,,,,,,,,,,,,,,,,,,,,,,,,,,7,44,0,44,6,26,1,20,5,1,19,25,7,22,5,5,5,1,4,,,,,0,,3,0,,,"0.02",5,5,5,1
Package,"org.lateralgm.file",1,1,1,1,7,0,7,0,,,,,5,6,34,,1,,15,16,21,,1,0,0,20,,420,44,348,176,167,28,,,,222,279,171,143,,,,,,7,6,7,1,,,2,,,,"0.08",38,33,38,20
Public Class,"org.lateralgm.file.ProjectFile",2,2,2,1,9,0,8,0,2,54,54,0,,5,26,,,,5,13,10,10,0,0,0,10,,340,40,293,121,167,7,,,,167,224,116,143,,,,,,6,6,6,1,,1,2,,91,91,"0.02",22,22,22,10
Public Static Class,"org.lateralgm.file.ProjectFile.FormatFlavor",2,1,2,1,8,0,8,0,1,1,1,0,,1,7,,,,3,2,4,4,0,0,0,4,,50,5,45,14,26,0,,,,20,26,14,18,,,,,,7,2,7,1,,1,1,,50,50,"0.00",10,5,10,4
Public Constructor,"org.lateralgm.file.ProjectFile.FormatFlavor.FormatFlavor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.lateralgm.file.ProjectFile.FormatFlavor.getOwner",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.lateralgm.file.ProjectFile.FormatFlavor.getVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"org.lateralgm.file.ProjectFile.FormatFlavor.getVersionFlavor",,,,,,,,,,,,,,,,,,,,,,,,,,,8,20,0,20,1,15,0,1,7,1,7,9,1,8,7,2,7,1,21,,,,,0,,1,0,,,"0.00",7,2,7,1
Public Constructor,"org.lateralgm.file.ProjectFile.ProjectFile",,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,4,14,2,11,4,11,9,1,9,16,4,13,5,5,5,1,0,,,,,0,,2,0,,,"0.29",5,5,5,1
Public Generic Interface,"org.lateralgm.file.ProjectFile.ResourceHolder",0,0,0,0,0,0,0,0,0,0,0,1,,0,0,,,,1,0,1,1,1,0,0,0,,4,0,4,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
TypeVariable,"org.lateralgm.file.ProjectFile.ResourceHolder.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Abstract Method,"org.lateralgm.file.ProjectFile.ResourceHolder.getResource",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Class,"org.lateralgm.file.ProjectFile.ResourceMap",1,1,1,1,4,0,4,0,1,3,3,0,,0,1,,,,4,0,4,4,0,0,0,4,,26,4,22,8,5,0,,,,5,10,6,4,,,,,,1,1,1,1,,2,0,,0,0,"0.00",4,4,4,4
Public Method,"org.lateralgm.file.ProjectFile.ResourceMap.addList",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
