Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DJJRDesignHelper.java",7,7,7,1,44,6,33,4,,,,,1,5,1,5,,5,0,0,5,,0,0,3,2,,286,47,188,51,127,52,,,,122,154,59,125,,,,,,27,27,27,1,,,5,,,,"0.28",39,39,39,5
Package,"ar",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ar.com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ar.com.fdvs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ar.com.fdvs.dj",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ar.com.fdvs.dj.core",7,7,7,1,44,6,33,4,,,,,1,5,1,,1,,0,0,5,,0,0,3,2,,286,47,188,51,127,52,,,,122,154,59,125,,,,,,27,27,27,1,,,5,,,,"0.28",39,39,39,5
Public Class,"ar.com.fdvs.dj.core.DJJRDesignHelper",7,7,7,1,44,6,33,4,1,32,32,0,,5,1,,,,0,0,5,5,0,0,3,2,,233,41,169,32,127,24,,,,103,135,40,125,,,,,,27,27,27,1,,1,5,,0,0,"0.14",39,39,39,5
Public Static Method,"ar.com.fdvs.dj.core.DJJRDesignHelper.downCast",,,,,,,,,,,,,,,,,,,,,,,,,,,11,118,12,91,12,64,16,34,32402,5,45,66,19,62,27,27,27,1,8,,,,,0,,5,0,,,"0.18",27,27,27,1
Protected Static Method,"ar.com.fdvs.dj.core.DJJRDesignHelper.getJRDesignQuery",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,4,0,6,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"ar.com.fdvs.dj.core.DJJRDesignHelper.getNewDesign",,,,,,,,,,,,,,,,,,,,,,,,,,,5,49,11,37,8,33,1,46,16,1,31,35,9,33,6,6,6,1,0,,,,,0,,1,0,,,"0.03",6,6,6,1
Protected Static Method,"ar.com.fdvs.dj.core.DJJRDesignHelper.populateBehavioralOptions",,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,4,15,5,12,1,23,2,0,11,13,5,12,2,2,2,1,0,,,,,0,,1,0,,,"0.07",2,2,2,1
Protected Static Method,"ar.com.fdvs.dj.core.DJJRDesignHelper.populateReportOptionsFromDesign",,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,6,17,3,13,6,21,4,1,11,14,3,13,3,3,3,1,0,,,,,0,,1,0,,,"0.35",3,3,3,1
