Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MapMaker.java",5,5,5,2,29,2,21,5,,,,,1,0,1,9,,9,9,0,9,,2,6,0,1,,329,37,223,70,146,72,,,,127,185,81,135,,,,,,13,13,13,5,,,7,,,,"0.32",49,49,50,19
File,"MapPoint.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,2,9,,0,1,0,8,,73,11,36,16,11,26,,,,15,25,16,10,,,,,,1,1,2,1,,,0,,,,"0.72",9,9,10,9
File,"MapPointFastFindMap.java",2,2,3,1,15,2,11,1,,,,,1,0,2,12,,12,12,3,12,,0,1,0,11,,236,54,155,45,81,33,,,,74,108,48,68,,,,,,9,9,13,8,,,7,,,,"0.21",31,31,36,19
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.me.parabola.mkgmap.general",1,1,2,1,10,1,8,0,,,,,2,0,2,,2,,21,5,21,,0,2,0,19,,309,65,191,61,92,59,,,,89,133,64,78,,,,,,9,9,13,8,,,7,,,,"0.31",40,40,46,28
Public Class,"uk.me.parabola.mkgmap.general.MapPoint",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,9,2,9,9,0,1,0,8,,68,9,33,13,11,26,,,,12,22,13,10,,,,,,1,1,2,1,,2,0,,66,61,"0.79",9,9,10,9
Public Constructor,"uk.me.parabola.mkgmap.general.MapPoint.MapPoint",,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Constructor,"uk.me.parabola.mkgmap.general.MapPoint.MapPoint",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"uk.me.parabola.mkgmap.general.MapPoint.copy",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"uk.me.parabola.mkgmap.general.MapPoint.getBounds",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,4,1,2,5,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.25",1,1,1,1
Public Method,"uk.me.parabola.mkgmap.general.MapPoint.getLocation",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"uk.me.parabola.mkgmap.general.MapPoint.isCity",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,2,0,2,1,0,2,3,2,2,1,1,2,1,0,,,,,0,,0,0,,,"0.00",1,1,2,1
Public Method,"uk.me.parabola.mkgmap.general.MapPoint.isRoadNamePOI",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"uk.me.parabola.mkgmap.general.MapPoint.setLocation",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"uk.me.parabola.mkgmap.general.MapPoint.setRoadNamePOI",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"uk.me.parabola.mkgmap.general.MapPointFastFindMap",2,2,3,1,15,2,11,1,1,9,9,0,,0,2,,,,12,3,12,12,0,1,0,11,,205,49,148,38,81,14,,,,67,101,41,68,,,,,,9,9,13,8,,1,7,,63,63,"0.09",31,31,36,19
