Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PostgresqlSynchronizationFactory.java",3,3,3,1,24,1,18,4,,,,,1,3,0,11,,11,8,0,11,,0,1,1,9,,300,27,219,86,132,54,,,,165,199,87,142,,,,,,7,7,7,4,,,5,,,,"0.25",34,34,36,18
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webobjects",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webobjects.jdbcadaptor",3,3,3,1,24,1,18,4,,,,,1,3,0,,1,,8,0,11,,0,1,1,9,,300,27,219,86,132,54,,,,165,199,87,142,,,,,,7,7,7,4,,,5,,,,"0.25",34,34,36,18
Public Class,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory",3,3,3,1,24,1,18,4,3,11,11,0,,3,0,,,,8,0,11,11,0,1,1,9,,287,26,207,74,132,54,,,,153,187,75,142,,,,,,7,7,7,4,,2,5,,0,0,"0.26",34,34,36,18
Public Constructor,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.PostgresqlSynchronizationFactory",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory._foreignKeyConstraintStatementsForEntityGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,2,27,0,27,11,19,0,11,7,1,16,23,11,20,7,7,7,1,1,,,,,0,,5,0,,,"0.00",7,7,7,1
Protected Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory._shouldGenerateForeignKeyConstraints",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,4,0,6,1,0,2,3,2,2,1,1,3,1,0,,,,,0,,0,0,,,"0.00",1,1,3,1
Private Static Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.createExpression",,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,0,5,2,3,7,2,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"1.40",1,1,1,1
Public Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.dropPrimaryKeySupportStatementsForEntityGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,1,14,6,7,6,6,2,0,12,14,6,9,2,2,2,1,0,,,,,0,,1,0,,,"0.43",2,2,2,1
Public Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.dropTableStatementsForEntityGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,1,16,7,9,7,7,2,0,14,16,7,11,2,2,2,1,0,,,,,0,,1,0,,,"0.44",2,2,2,1
Public Static Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.entityUsesSeparateTable",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,10,2,7,0,4,4,1,6,10,2,9,4,4,4,4,4,,,,,4,,2,4,,,"0.00",4,4,4,4
Public Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.foreignKeyConstraintStatementsForRelationship",,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,2,27,11,18,8,17,3,0,24,27,12,20,4,4,4,1,0,,,,,0,,2,0,,,"0.30",4,4,4,1
Public Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.primaryKeyConstraintStatementsForEntityGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,1,49,2,39,14,26,8,12,7,1,34,39,14,30,5,5,5,3,2,,,,,2,,3,1,,,"0.21",5,5,5,3
Public Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.primaryKeySupportStatementsForEntityGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,6,34,12,22,7,10,3,0,28,31,12,22,3,3,3,1,0,,,,,0,,2,0,,,"0.21",3,3,3,1
Public Static Method,"com.webobjects.jdbcadaptor.PostgresqlSynchronizationFactory.replaceStringByStringInString",,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,1,24,5,16,7,6,5,1,13,17,5,15,4,4,4,3,3,,,,,3,,2,2,,,"0.29",4,4,4,3
