Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BasicParser.java",6,6,7,1,36,7,27,3,,,,,1,0,3,18,,18,18,13,18,,0,2,0,16,,733,160,530,119,378,64,,,,293,412,119,336,,,,,,42,42,44,11,,,6,,,,"0.12",118,118,126,31
File,"Bill.java",2,2,2,1,8,0,7,0,,,,,1,0,0,51,,51,51,18,51,,0,0,0,51,,668,195,462,145,210,11,,,,156,270,105,177,,,,,,48,48,66,3,,,5,,,,"0.02",114,114,133,53
File,"Supplemental.java",1,1,1,1,7,0,6,0,,,,,1,0,0,21,,21,21,7,21,,0,0,0,21,,209,53,154,64,64,2,,,,73,106,53,60,,,,,,9,9,9,3,,,2,,,,"0.01",32,32,33,23
Package,"gov",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.model",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.model.bill",2,2,2,1,8,0,7,0,,,,,1,0,0,,1,,51,18,51,,0,0,0,51,,668,195,462,145,210,11,,,,156,270,105,177,,,,,,48,48,66,3,,,5,,,,"0.02",114,114,133,53
Public Class,"gov.nysenate.openleg.model.bill.Bill",2,2,2,1,8,0,7,0,2,17,17,0,,0,0,,,,51,18,51,51,0,0,0,51,,636,179,446,129,210,11,,,,140,254,89,177,,,,,,48,48,66,3,,1,5,,92,92,"0.02",114,114,133,53
Public Constructor,"gov.nysenate.openleg.model.bill.Bill.Bill",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.model.bill.Bill.addVote",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"gov.nysenate.openleg.model.bill.Bill.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,3,10,4,5,0,4,2,0,4,6,3,5,2,2,3,1,1,,,,,0,,1,0,,,"0.00",2,2,3,1
Public Method,"gov.nysenate.openleg.model.bill.Bill.getActClause",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.model.bill.Bill.getAmendments",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
