Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TileLoaderTask.java",2,2,2,1,17,1,14,1,,,,,5,0,1,13,,13,13,16,13,,0,4,3,6,,343,49,245,124,133,49,,,,154,191,115,111,,,,,,9,9,9,3,,,5,,,,"0.20",29,29,32,17
File,"TiledWmsLayer.java",1,1,1,1,9,0,7,1,,,,,2,0,0,10,,10,10,1,10,,0,0,3,7,,162,22,104,68,28,36,,,,52,66,46,24,,,,,,3,3,3,1,,,2,,,,"0.35",12,12,12,10
File,"TiledWmsLayerParam.java",1,1,1,1,8,1,6,1,,,,,1,0,0,3,,3,3,6,3,,0,0,0,3,,102,16,39,24,12,47,,,,23,28,20,8,,,,,,2,2,3,1,,,1,,,,"1.21",4,4,5,3
File,"WmsLayer.java",1,1,1,1,18,1,12,4,,,,,1,0,0,4,,4,4,1,4,,0,0,2,2,,130,15,75,46,32,40,,,,52,60,41,28,,,,,,3,3,3,1,,,2,,,,"0.53",6,6,7,4
File,"WmsLayerParam.java",1,1,2,1,10,1,7,1,,,,,1,0,0,2,,2,2,5,2,,0,0,0,2,,88,13,32,19,11,43,,,,18,22,15,7,,,,,,2,2,3,1,,,1,,,,"1.34",3,3,4,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map.image",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map.image.wms",1,1,1,1,15,1,10,3,,,,,2,0,0,,2,,6,6,6,,0,0,2,4,,218,28,107,65,43,83,,,,70,82,56,35,,,,,,3,3,3,1,,,2,,,,"0.78",9,9,11,6
Public Final Class,"org.mapfish.print.map.image.wms.WmsLayer",1,1,1,1,18,1,12,4,1,24,24,0,,0,0,,,,4,1,4,4,0,0,2,2,,85,11,52,23,32,22,,,,29,37,18,28,,,,,,3,3,3,1,,2,2,,0,0,"0.42",6,6,7,4
Protected Constructor,"org.mapfish.print.map.image.wms.WmsLayer.WmsLayer",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,6,3,2,7,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.17",1,1,1,1
Public Method,"org.mapfish.print.map.image.wms.WmsLayer.getParams",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Protected Method,"org.mapfish.print.map.image.wms.WmsLayer.loadImage",,,,,,,,,,,,,,,,,,,,,,,,,,,12,41,6,35,15,27,0,33,3,0,24,28,13,24,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"org.mapfish.print.map.image.wms.WmsLayer.supportsNativeRotation",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,5,2,2,5,4,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"1.00",1,1,2,1
Public Final Class,"org.mapfish.print.map.image.wms.WmsLayerParam",1,1,2,1,10,1,7,1,1,7,7,0,,0,0,,,,2,5,2,2,0,0,0,2,,58,8,25,12,11,25,,,,11,15,8,7,,,,,,2,2,3,1,,2,1,,60,50,"1.00",3,3,4,2
Public Method,"org.mapfish.print.map.image.wms.WmsLayerParam.getBaseUri",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.image.wms.WmsLayerParam.postConstruct",,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,3,11,1,8,3,5,2,0,5,7,1,6,2,2,3,1,0,,,,,0,,1,0,,,"0.27",2,2,3,1
Package,"org.mapfish.print.map.tiled",2,2,2,1,17,1,14,1,,,,,5,0,1,,1,,13,16,13,,0,4,3,6,,343,49,245,124,133,49,,,,154,191,115,111,,,,,,9,9,9,3,,,5,,,,"0.20",29,29,32,17
Public Final Class,"org.mapfish.print.map.tiled.TileLoaderTask",3,3,4,1,34,4,26,3,1,36,36,0,,0,1,,,,5,8,5,5,0,3,1,1,,283,42,210,89,133,31,,,,119,156,80,111,,,,,,9,9,9,3,,2,5,,57,47,"0.15",18,18,21,7
Private Static Class,"org.mapfish.print.map.tiled.TileLoaderTask.PlaceHolderImageTask",1,1,1,1,4,0,4,0,1,3,3,0,,0,0,,,,2,1,2,5,0,0,1,1,,14,3,11,5,3,0,,,,4,7,4,3,,,,,,1,1,1,1,,3,0,,0,0,"0.00",2,2,2,2
Public Constructor,"org.mapfish.print.map.tiled.TileLoaderTask.PlaceHolderImageTask.PlaceHolderImageTask",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.mapfish.print.map.tiled.TileLoaderTask.PlaceHolderImageTask.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Final Class,"org.mapfish.print.map.tiled.TileLoaderTask.SingleTileLoaderTask",2,2,2,2,15,1,14,0,1,10,10,0,,0,0,,,,2,2,2,5,0,0,1,1,,37,5,32,10,19,0,,,,15,21,8,15,,,,,,4,4,4,3,,3,2,,0,0,"0.00",5,5,5,4
Public Constructor,"org.mapfish.print.map.tiled.TileLoaderTask.SingleTileLoaderTask.SingleTileLoaderTask",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,2,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.mapfish.print.map.tiled.TileLoaderTask.SingleTileLoaderTask.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,2,22,5,16,0,14,4,1,10,14,4,12,4,4,4,3,9,,,,,3,,2,3,,,"0.00",4,4,4,3
Private Static Final Class,"org.mapfish.print.map.tiled.TileLoaderTask.Tile",1,1,1,1,5,0,5,0,1,1,1,0,,0,0,,,,1,3,1,1,0,1,0,0,,20,1,10,5,3,9,,,,6,8,5,3,,,,,,1,1,1,1,,1,0,,0,0,"0.90",1,1,1,1
Private Constructor,"org.mapfish.print.map.tiled.TileLoaderTask.Tile.Tile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"org.mapfish.print.map.tiled.TileLoaderTask.TileLoaderTask",,,,,,,,,,,,,,,,,,,,,,,,,,,9,29,0,20,6,14,9,15,1,0,12,14,3,13,1,1,1,1,0,,,,,0,,1,0,,,"0.45",1,1,1,1
Private Static Abstract Class,"org.mapfish.print.map.tiled.TileLoaderTask.TileTask",1,1,1,1,3,0,3,0,1,0,0,2,,0,0,,,,3,2,3,3,0,0,0,3,,17,3,14,6,4,0,,,,6,10,6,4,,,,,,1,1,1,1,,2,0,,33,33,"0.00",3,3,3,3
Public Constructor,"org.mapfish.print.map.tiled.TileLoaderTask.TileTask.TileTask",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.TileLoaderTask.TileTask.getTileIndexX",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.TileLoaderTask.TileTask.getTileIndexY",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.mapfish.print.map.tiled.TileLoaderTask.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,16,88,14,73,33,60,1,35,19,1,49,60,32,49,9,9,9,1,2,,,,,0,,5,0,,,"0.01",9,9,9,1
Private Method,"org.mapfish.print.map.tiled.TileLoaderTask.getRotatedMapBounds",,,,,,,,,,,,,,,,,,,,,,,,,,,9,27,4,21,8,16,2,15,4,1,10,14,6,13,4,4,4,1,2,,,,,0,,2,0,,,"0.10",4,4,4,1
Private Method,"org.mapfish.print.map.tiled.TileLoaderTask.isInTileCacheBounds",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,6,3,4,1,5,1,0,3,4,3,3,1,1,4,1,0,,,,,0,,0,0,,,"0.17",1,1,4,1
Private Method,"org.mapfish.print.map.tiled.TileLoaderTask.isTileVisible",,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,2,12,3,8,6,7,3,0,5,8,3,7,3,3,3,3,2,,,,,2,,1,2,,,"0.50",3,3,3,3
Package,"org.mapfish.print.map.tiled.wms",1,1,1,1,8,0,7,1,,,,,3,0,0,,2,,13,7,13,,0,0,3,10,,264,38,143,92,40,83,,,,75,94,66,32,,,,,,3,3,3,1,,,2,,,,"0.58",16,16,17,13
Public Final Class,"org.mapfish.print.map.tiled.wms.TiledWmsLayer",1,1,1,1,9,0,5,4,1,7,7,0,,0,0,,,,3,1,3,3,0,0,1,2,,111,15,78,42,28,18,,,,26,40,20,24,,,,,,1,1,1,1,,2,0,,33,33,"0.23",3,3,3,3
Public Constructor,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.TiledWmsLayer",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,7,4,2,7,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Private Final Class,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation",1,1,1,1,8,0,8,0,1,23,23,0,,0,0,,,,7,0,7,7,0,0,2,5,,71,11,59,31,24,1,,,,21,31,15,20,,,,,,3,3,3,1,,2,2,,0,0,"0.02",9,9,9,7
Public Constructor,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation.WmsTileCacheInformation",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,3,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation.customizeQueryParams",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,2,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation.getLayerDpi",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation.getScale",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,2,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation.getTileCacheBounds",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,3,3,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation.getTileRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,13,33,4,29,16,16,0,19,3,0,16,19,8,15,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.WmsTileCacheInformation.getTileSize",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.createTileInformation",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,4,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayer.getParams",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Final Class,"org.mapfish.print.map.tiled.wms.TiledWmsLayerParam",1,1,1,1,8,1,6,1,1,9,9,0,,0,0,,,,3,6,3,3,0,0,0,3,,69,11,29,14,12,29,,,,13,18,10,8,,,,,,2,2,3,1,,2,1,,72,66,"1.00",4,4,5,3
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayerParam.getBaseUri",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayerParam.getTileSize",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.tiled.wms.TiledWmsLayerParam.postConstruct",,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,3,11,1,8,4,5,2,0,5,7,1,6,2,2,3,1,0,,,,,0,,1,0,,,"0.36",2,2,3,1
