Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JsonOpenlegDaoUtils.java",2,2,2,1,15,0,15,0,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,48,6,42,18,23,0,,,,28,34,18,19,,,,,,3,3,3,1,,,2,,,,"0.00",5,5,5,2
File,"OpenlegCalendarReportService.java",1,1,1,1,11,1,7,2,,,,,1,0,1,12,,12,4,6,4,,0,1,1,2,,172,28,113,62,56,31,,,,73,82,52,43,,,,,,3,3,3,1,,,1,,,,"0.27",15,15,15,12
Package,"gov",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.service",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.service.spotcheck",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg.service.spotcheck.openleg",1,1,1,1,12,1,8,2,,,,,2,2,2,,2,,4,6,6,,0,1,1,4,,220,34,155,80,79,31,,,,101,116,70,62,,,,,,3,3,3,1,,,2,,,,"0.20",20,20,20,14
Public Class,"gov.nysenate.openleg.service.spotcheck.openleg.JsonOpenlegDaoUtils",2,2,2,1,15,0,15,0,1,11,11,0,,2,1,,,,0,0,2,2,0,0,0,2,,36,3,33,9,23,0,,,,19,25,9,19,,,,,,3,3,3,1,,1,2,,0,0,"0.00",5,5,5,2
Public Static Method,"gov.nysenate.openleg.service.spotcheck.openleg.JsonOpenlegDaoUtils.readInputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,15,4,10,0,6,3,0,8,11,4,8,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Static Method,"gov.nysenate.openleg.service.spotcheck.openleg.JsonOpenlegDaoUtils.setConnection",,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,1,15,3,12,0,7,2,0,10,12,3,10,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Class,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService",1,1,1,1,27,3,17,6,1,33,33,0,,0,1,,,,4,6,4,4,0,1,1,2,,136,24,85,35,56,27,,,,46,55,25,43,,,,,,3,3,3,1,,2,1,,83,83,"0.32",15,15,15,12
Private Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.addObservationData",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,0,7,3,4,8,5,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"1.14",1,1,1,1
Public Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport",,,,,,,,,,,,,,,,,,,,,,,,,,,16,88,14,55,13,49,19,23,4,1,33,38,13,36,3,3,3,1,0,,,,,0,,1,0,,,"0.35",12,12,12,9
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_3)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_4)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_5)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,0,2,0,3,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_7)",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,12,3,10,2,9,2,0,7,8,3,8,2,2,2,1,1,,,,,0,,0,0,,,"0.17",2,2,2,1
Lambda Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.generateReport.(lambda_expr_8)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,5,1,4,1,5,1,0,3,3,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Protected Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.getReportDao",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.service.spotcheck.openleg.OpenlegCalendarReportService.getSpotcheckRefType",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
