Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AllTests.java",2,2,2,2,56,7,42,7,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,173,20,121,39,81,32,,,,107,112,39,78,,,,,,4,4,4,3,,,2,,,,"0.26",5,5,5,4
File,"BinderTest.java",1,1,1,0,9,0,9,0,,,,,45,0,0,44,,42,44,8,44,,1,1,10,32,,453,51,367,78,243,36,,,,148,222,90,141,,,,,,2,2,2,1,,,1,,,,"0.10",59,59,59,42
File,"BindingProcessor.java",1,1,1,1,15,1,13,0,,,,,4,0,1,21,,22,22,3,22,,3,5,0,14,,296,38,221,81,141,38,,,,114,154,84,100,,,,,,4,4,5,3,,,1,,,,"0.17",35,35,37,25
File,"ConstructorBindingImpl.java",1,1,1,1,9,0,7,1,,,,,2,1,0,18,,18,17,6,18,,5,1,2,10,,236,35,168,66,83,35,,,,75,105,53,61,,,,,,8,8,8,1,,,2,,,,"0.21",29,29,30,18
File,"Errors.java",1,1,1,1,6,0,5,0,,,,,6,7,2,83,,84,77,5,84,,4,3,0,77,,677,119,491,155,249,68,,,,198,322,149,191,,,,,,8,8,8,4,,,2,,,,"0.14",122,122,125,91
File,"ExposedBindingImpl.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,61,10,36,18,11,15,,,,17,24,17,7,,,,,,1,1,1,1,,,0,,,,"0.42",6,6,6,6
File,"InjectorImpl.java",1,1,2,1,11,0,9,1,,,,,12,4,1,71,,70,68,17,72,,19,14,1,38,,949,134,675,248,380,153,,,,283,429,212,296,,,,,,8,8,9,7,,,5,,,,"0.23",133,133,145,93
File,"InstanceBindingImpl.java",1,1,1,1,4,0,4,0,,,,,1,0,0,11,,11,11,3,11,,0,0,0,11,,95,15,64,29,23,16,,,,31,43,26,17,,,,,,2,2,2,1,,,0,,,,"0.25",12,12,12,11
File,"LinkedBindingImpl.java",1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,9,1,9,,0,0,0,9,,76,14,47,21,16,15,,,,20,30,19,11,,,,,,1,1,1,1,,,0,,,,"0.32",9,9,9,9
File,"LinkedProviderBindingImpl.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,1,8,,1,0,0,7,,71,12,44,19,16,15,,,,16,25,15,10,,,,,,1,1,1,1,,,0,,,,"0.34",8,8,8,8
