Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"IterableSubject.java",2,2,2,1,17,0,11,5,,,,,10,1,2,78,,79,78,12,79,,7,26,2,44,,1582,109,945,279,558,539,,,,321,532,243,369,,,,,,16,16,17,10,,,4,,,,"0.57",193,193,202,123
File,"SubjectUtils.java",2,2,2,1,11,0,8,2,,,,,1,17,1,18,,18,1,0,18,,15,3,0,0,,255,23,162,51,91,70,,,,70,121,59,75,,,,,,5,5,5,5,,,3,,,,"0.43",45,45,45,27
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google.common",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google.common.truth",2,2,2,1,16,0,10,5,,,,,11,18,3,,2,,79,12,97,,22,29,2,44,,1837,132,1107,330,649,609,,,,391,653,302,444,,,,,,16,16,17,10,,,4,,,,"0.55",238,238,247,150
Public Class,"com.google.common.truth.IterableSubject",2,2,2,1,18,0,11,6,1,27,27,0,,1,2,,,,28,0,29,29,0,4,2,23,,1518,106,900,235,557,523,,,,277,488,199,369,,,,,,16,16,17,10,,2,4,,0,0,"0.58",72,72,75,45
Anonymous Class,"com.google.common.truth.IterableSubject.(Anon_1)",1,1,1,1,2,0,2,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,3,0,3,0,3,0,,,,0,1,1,0,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.google.common.truth.IterableSubject.(Anon_1).inOrder",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,0,2,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.google.common.truth.IterableSubject.(Anon_2)",1,1,1,1,2,0,2,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,3,0,3,0,3,0,,,,0,1,1,0,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.google.common.truth.IterableSubject.(Anon_2).inOrder",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,0,2,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Constructor,"com.google.common.truth.IterableSubject.IterableSubject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Private Static Final Class,"com.google.common.truth.IterableSubject.NotInOrder",1,1,1,1,4,0,4,0,2,4,4,0,,0,0,,,,2,3,2,2,1,0,0,1,,17,2,14,7,4,1,,,,7,10,6,4,,,,,,1,1,1,1,,1,0,,0,0,"0.07",2,2,2,2
