Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ERXApplication.java",2,2,3,1,18,0,11,5,,,,,6,16,19,86,,86,70,17,86,,1,7,3,75,,1848,164,1100,324,665,585,,,,576,819,334,608,,,,,,22,22,25,7,,,5,,,,"0.53",252,252,285,103
Package,"er",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"er.extensions",2,2,3,1,18,0,11,5,,,,,6,16,19,,1,,70,17,86,,1,7,3,75,,1848,164,1100,324,665,585,,,,576,819,334,608,,,,,,22,22,25,7,,,5,,,,"0.53",252,252,285,103
Public Abstract Class,"er.extensions.ERXApplication",3,3,3,1,20,0,12,7,2,84,84,0,,15,16,,,,52,13,67,67,0,5,3,59,,1775,158,1039,264,665,579,,,,516,759,274,608,,,,,,22,22,25,7,,2,5,,97,94,"0.56",210,210,237,80
Static Class,"er.extensions.ERXApplication.AppClassLoader",3,3,3,1,13,0,12,0,1,8,8,0,,1,0,,,,2,0,3,3,1,0,0,2,,44,3,40,12,24,1,,,,18,29,13,22,,,,,,5,5,6,1,,2,3,,0,0,"0.03",10,10,11,3
Constructor,"er.extensions.ERXApplication.AppClassLoader.AppClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"er.extensions.ERXApplication.AppClassLoader.getAppClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,0,18,5,12,1,8,6,1,10,14,6,10,4,4,4,1,1,,,,,0,,2,0,,,"0.06",4,4,4,1
Public Method,"er.extensions.ERXApplication.AppClassLoader.loadClass",,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,0,17,5,11,0,9,7,1,7,12,5,11,5,5,6,1,0,,,,,0,,3,0,,,"0.00",5,5,6,1
Public Constructor,"er.extensions.ERXApplication.ERXApplication",,,,,,,,,,,,,,,,,,,,,,,,,,,15,84,10,62,6,48,12,49,4608,4,37,50,7,48,14,14,18,1,0,,,,,0,,2,0,,,"0.19",14,14,18,1
Public Static Class,"er.extensions.ERXApplication.JarChecker",7,7,10,2,33,0,32,0,1,13,13,0,,0,3,,,,2,0,2,2,0,2,0,0,,114,12,95,33,57,7,,,,51,71,34,58,,,,,,8,8,12,3,,1,4,,0,0,"0.07",15,15,20,4
