Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"LakeviewFeedCompiler.java",2,2,3,1,12,1,10,0,,,,,2,2,17,39,,39,37,5,39,,2,27,2,8,,593,98,492,172,292,9,,,,259,384,181,258,,,,,,14,14,14,6,,,5,,,,"0.02",111,111,123,60
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.atlasapi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.atlasapi.feeds",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.atlasapi.feeds.lakeview",2,2,3,1,12,1,10,0,,,,,2,2,17,,1,,37,5,39,,2,27,2,8,,593,98,492,172,292,9,,,,259,384,181,258,,,,,,14,14,14,6,,,5,,,,"0.02",111,111,123,60
Public Class,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler",2,2,3,1,12,1,10,0,1,46,46,0,,2,17,,,,36,5,38,38,2,27,2,7,,543,92,448,128,292,9,,,,215,340,137,258,,,,,,14,14,14,6,,1,5,,93,85,"0.02",110,110,122,59
Anonymous Class,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.(Anon_1)",1,1,1,1,4,0,4,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.(Anon_1).compare",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.LakeviewFeedCompiler",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,1,5,0,8,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"org.atlasapi.feeds.lakeview.LakeviewFeedCompiler.LakeviewFeedCompiler",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
