Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JBidWatch.java",3,3,4,1,27,2,18,5,,,,,3,14,5,21,,21,7,6,21,,0,17,0,4,,661,85,431,113,294,146,,,,257,345,116,268,,,,,,15,15,21,3,,,3,,,,"0.34",82,82,97,29
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jbidwatcher",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jbidwatcher.app",3,3,4,1,27,2,18,5,,,,,3,14,5,,1,,7,6,21,,0,17,0,4,,661,85,431,113,294,146,,,,257,345,116,268,,,,,,15,15,21,3,,,3,,,,"0.34",82,82,97,29
Public Final Class,"com.jbidwatcher.app.JBidWatch",4,4,4,1,29,3,20,6,2,46,46,0,,14,5,,,,5,6,19,19,0,17,0,2,,617,81,396,78,294,141,,,,222,310,81,268,,,,,,15,15,21,3,,1,3,,90,84,"0.36",79,79,94,27
Private Static Method,"com.jbidwatcher.app.JBidWatch.EstablishFirewall",,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,1,12,3,8,8,4,3,0,6,9,3,8,3,3,3,3,2,,,,,2,,2,2,,,"0.67",3,3,3,3
Private Static Method,"com.jbidwatcher.app.JBidWatch.EstablishHTTPSProxy",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,13,3,9,0,4,3,0,7,10,3,9,3,3,4,3,2,,,,,2,,2,2,,,"0.00",3,3,4,3
Private Static Method,"com.jbidwatcher.app.JBidWatch.EstablishProxy",,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,2,16,3,12,7,4,3,0,10,13,3,12,3,3,4,3,2,,,,,2,,2,2,,,"0.44",3,3,4,3
Private Constructor,"com.jbidwatcher.app.JBidWatch.JBidWatch",,,,,,,,,,,,,,,,,,,,,,,,,,,23,115,17,78,7,66,20,34,48,2,51,64,8,61,7,7,8,1,2,,,,,0,,2,0,,,"0.26",7,7,8,1
Anonymous Class,"com.jbidwatcher.app.JBidWatch.JBidWatch.(Anon_1)",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,4,0,4,0,3,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.jbidwatcher.app.JBidWatch.JBidWatch.(Anon_1).messageAction",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.jbidwatcher.app.JBidWatch.JBidWatch.(Anon_2)",2,2,2,1,11,0,11,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,12,0,12,1,9,0,,,,4,7,1,6,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"com.jbidwatcher.app.JBidWatch.JBidWatch.(Anon_2).run",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,11,0,8,0,6,2,0,4,7,1,6,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.jbidwatcher.app.JBidWatch.buildFrame",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5,3,3,0,3,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.checkArguments",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,1,7,2,4,8,2,2,0,3,6,3,3,2,2,2,1,0,,,,,0,,1,0,,,"1.14",2,2,2,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.checkConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,0,4,1,2,12,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.getUserSetup",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,3,0,2,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.handleArgument",,,,,,,,,,,,,,,,,,,,,,,,,,,6,23,0,22,1,18,1,13,5,1,12,17,1,16,5,5,6,3,3,,,,,2,,2,2,,,"0.05",5,5,6,3
Private Static Method,"com.jbidwatcher.app.JBidWatch.loadConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,7,25,5,18,4,13,2,14,12,1,10,15,4,14,5,5,7,1,0,,,,,0,,2,0,,,"0.11",5,5,7,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.loadProxySettings",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,3,8,6,6,0,5,2,0,6,8,6,6,2,2,4,1,0,,,,,0,,1,0,,,"0.00",2,2,4,1
Public Static Method,"com.jbidwatcher.app.JBidWatch.main",,,,,,,,,,,,,,,,,,,,,,,,,,,16,124,13,96,16,78,15,41,2304,3,62,76,16,69,15,15,21,1,5,,,,,0,,2,0,,,"0.16",15,15,21,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.makePlatformDirectory",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.makeSaveDirectory",,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,0,3,1,1,14,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"4.67",1,1,1,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.makeStandardDirectory",,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,4,22,5,15,0,7,16,1,9,16,5,14,7,7,7,1,1,,,,,0,,3,0,,,"0.00",7,7,7,1
Private Method,"com.jbidwatcher.app.JBidWatch.preQueueServices",,,,,,,,,,,,,,,,,,,,,,,,,,,11,19,2,11,2,7,6,6,4,1,5,8,2,7,3,3,3,1,0,,,,,0,,1,0,,,"0.55",3,3,3,1
Private Method,"com.jbidwatcher.app.JBidWatch.repaint",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"com.jbidwatcher.app.JBidWatch.setUI",,,,,,,,,,,,,,,,,,,,,,,,,,,7,46,6,28,2,18,12,12,144,2,9,20,3,17,10,10,11,1,1,,,,,0,,3,0,,,"0.43",10,10,11,1
Public Final Method,"com.jbidwatcher.app.JBidWatch.updateConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,8,43,4,29,3,20,10,12,32,2,10,19,3,18,8,8,8,1,3,,,,,0,,2,0,,,"0.34",8,8,8,1
