Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"WireMockClassRule.java",1,1,1,1,6,0,5,0,,,,,2,0,0,18,,18,18,3,18,,0,0,2,16,,142,23,102,44,36,17,,,,44,66,36,30,,,,,,2,2,2,1,,,2,,,,"0.17",19,19,19,18
File,"WireMockRule.java",1,1,1,1,4,0,4,0,,,,,2,0,0,19,,19,19,2,19,,0,0,2,17,,135,24,94,45,28,17,,,,40,61,37,24,,,,,,1,1,1,1,,,1,,,,"0.18",19,19,19,19
File,"WireMockServer.java",1,1,1,1,7,0,6,0,,,,,3,0,2,26,,26,26,7,26,,0,1,0,25,,267,39,204,82,103,24,,,,83,114,72,49,,,,,,2,2,2,1,,,1,,,,"0.12",29,29,30,26
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.tomakehurst",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.tomakehurst.wiremock",1,1,1,1,7,0,6,0,,,,,3,0,2,,1,,26,7,26,,0,1,0,25,,267,39,204,82,103,24,,,,83,114,72,49,,,,,,2,2,2,1,,,1,,,,"0.12",29,29,30,26
Public Class,"com.github.tomakehurst.wiremock.WireMockServer",1,1,1,1,7,0,6,0,3,33,33,0,,0,2,,,,24,7,24,24,0,1,0,23,,221,35,177,55,103,9,,,,56,87,45,49,,,,,,2,2,2,1,,1,1,,85,83,"0.05",26,26,27,24
Private Static Class,"com.github.tomakehurst.wiremock.WireMockServer.NoOpMappingsLoader",1,1,1,1,4,0,3,1,2,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,5,3,0,1,,,,0,2,2,0,,,,,,1,1,1,1,,1,0,,0,0,"0.20",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.WireMockServer.NoOpMappingsLoader.loadMappingsInto",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,2,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Constructor,"com.github.tomakehurst.wiremock.WireMockServer.WireMockServer",,,,,,,,,,,,,,,,,,,,,,,,,,,9,45,5,40,7,38,0,20,1,0,13,14,6,13,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"com.github.tomakehurst.wiremock.WireMockServer.WireMockServer",,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,9,1,7,0,9,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"com.github.tomakehurst.wiremock.WireMockServer.WireMockServer",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,1,5,0,7,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
