Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"OptionalBinder.java",1,1,1,1,7,0,6,0,,,,,12,7,1,43,,45,40,18,47,,9,5,0,33,,510,65,309,127,134,137,,,,140,202,113,95,,,,,,4,4,8,3,,,1,,,,"0.44",53,53,62,43
File,"OptionalBinderTest.java",1,1,1,1,12,1,11,0,,,,,50,0,0,81,,81,81,11,81,,3,2,36,40,,985,139,805,319,549,49,,,,451,550,289,406,,,,,,4,4,4,1,,,2,,,,"0.06",92,92,93,81
File,"SpiUtils.java",4,4,5,1,22,1,19,1,,,,,6,21,0,32,,28,11,12,32,,13,10,0,9,,849,78,698,232,468,79,,,,370,520,209,385,,,,,,21,21,30,9,,,4,,,,"0.11",137,130,166,46
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google.inject",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.google.inject.multibindings",1,1,2,1,13,0,11,0,,,,,68,28,1,,3,,132,41,160,,25,17,36,82,,2344,282,1812,678,1151,265,,,,961,1272,611,886,,,,,,21,21,30,9,,,4,,,,"0.15",282,275,321,170
Public Abstract Generic Class,"com.google.inject.multibindings.OptionalBinder",1,1,1,1,4,0,4,0,1,12,12,1,,7,0,,,,3,0,10,10,4,1,0,5,,472,58,278,96,134,137,,,,109,171,82,95,,,,,,1,1,1,1,,1,0,,0,0,"0.49",8,8,8,8
Annotation,"com.google.inject.multibindings.OptionalBinder.Actual",0,0,0,0,0,0,0,0,0,3,3,1,,0,0,,,,1,0,1,1,1,0,0,0,,5,0,5,4,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Abstract Method,"com.google.inject.multibindings.OptionalBinder.Actual.value",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Static Class,"com.google.inject.multibindings.OptionalBinder.ActualImpl",1,1,1,1,3,0,3,0,2,1,1,0,,0,0,,,,1,0,1,7,0,0,0,1,,5,0,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Constructor,"com.google.inject.multibindings.OptionalBinder.ActualImpl.ActualImpl",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Static Abstract Class,"com.google.inject.multibindings.OptionalBinder.BaseAnnotation",1,1,1,1,4,0,3,0,3,3,3,2,,0,1,,,,6,2,6,6,1,0,0,5,,38,9,28,11,11,1,,,,12,20,11,9,,,,,,2,2,2,1,,1,1,,25,25,"0.04",8,8,8,6
Constructor,"com.google.inject.multibindings.OptionalBinder.BaseAnnotation.BaseAnnotation",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.google.inject.multibindings.OptionalBinder.BaseAnnotation.annotationType",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.google.inject.multibindings.OptionalBinder.BaseAnnotation.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,1,7,2,4,0,4,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"com.google.inject.multibindings.OptionalBinder.BaseAnnotation.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,3,1,1,1,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
