Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"KettleElementType.java",2,2,2,1,16,3,10,2,,,,,3,0,1,15,,15,15,6,15,,1,3,1,10,,312,69,202,78,113,46,,,,120,156,79,92,,,,,,10,10,10,1,,,2,,,,"0.23",32,32,32,15
Package,"pt",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails.cpk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails.cpk.elements",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"pt.webdetails.cpk.elements.impl",2,2,2,1,16,3,10,2,,,,,3,0,1,,1,,15,6,15,,1,3,1,10,,312,69,202,78,113,46,,,,120,156,79,92,,,,,,10,10,10,1,,,2,,,,"0.23",32,32,32,15
Public Class,"pt.webdetails.cpk.elements.impl.KettleElementType",3,3,3,1,34,7,21,5,1,27,27,0,,0,1,,,,6,4,6,6,0,2,1,3,,271,66,167,43,113,43,,,,85,121,44,92,,,,,,10,10,10,1,,2,2,,66,54,"0.26",22,22,22,6
Public Constructor,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleElementType",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,2,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.50",1,1,1,1
Private Class,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput",1,1,1,1,4,0,4,0,1,5,5,0,,0,0,,,,7,2,7,7,1,1,0,5,,46,10,32,12,14,4,,,,14,23,12,13,,,,,,2,2,2,1,,1,1,,42,28,"0.12",8,8,8,7
Constructor,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.KettleOutput",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.getRows",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.getRowsJSON",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,8,3,6,0,2,2,0,4,6,3,5,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.getRowsMeta",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.init",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.storeRow",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.KettleOutput.storeRow",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"pt.webdetails.cpk.elements.impl.KettleElementType.createElementInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"pt.webdetails.cpk.elements.impl.KettleElementType.executeJob",,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,7,22,3,17,13,12,6,1,13,18,4,16,4,4,4,1,1,,,,,0,,2,0,,,"0.59",4,4,4,1
Private Method,"pt.webdetails.cpk.elements.impl.KettleElementType.executeTransformation",,,,,,,,,,,,,,,,,,,,,,,,,,,6,71,19,38,4,30,14,17,8,1,19,27,7,23,5,5,5,1,2,,,,,0,,0,0,,,"0.37",5,5,5,1
Anonymous Class,"pt.webdetails.cpk.elements.impl.KettleElementType.executeTransformation.(Anon_1)",1,1,1,1,4,0,3,0,1,5,5,0,,0,0,,,,2,0,2,2,0,0,0,2,,11,2,8,0,6,1,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,"0.12",2,2,2,2
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.executeTransformation.(Anon_1).rowReadEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.executeTransformation.(Anon_1).rowWrittenEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,0,2,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.getType",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"pt.webdetails.cpk.elements.impl.KettleElementType.processRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,6,80,21,56,13,43,3,27,108,2,30,40,12,33,10,10,10,1,7,,,,,0,,2,0,,,"0.05",10,10,10,1
