Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Delete.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,59,9,29,16,6,21,,,,13,20,14,6,,,,,,2,2,2,1,,,0,,,,"0.72",7,7,7,6
File,"DeleteDeParser.java",1,1,1,1,5,0,3,1,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,71,10,30,12,10,31,,,,14,22,12,10,,,,,,2,2,2,1,,,1,,,,"1.03",7,7,7,6
File,"DeleteTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,32,8,24,16,8,0,,,,16,20,16,6,,,,,,1,1,1,1,,,0,,,,"0.00",3,3,3,3
File,"SelectDeParser.java",3,3,4,1,15,1,13,0,,,,,1,0,0,27,,27,27,2,27,,0,0,0,27,,474,59,380,67,237,35,,,,168,267,62,230,,,,,,31,31,31,1,,,4,,,,"0.09",105,105,108,27
File,"Update.java",1,1,1,1,5,0,5,0,,,,,1,0,0,20,,20,20,9,20,,0,0,0,20,,189,27,126,44,52,36,,,,60,94,45,50,,,,,,13,13,13,1,,,4,,,,"0.29",32,32,32,20
File,"UpdateDeParser.java",3,3,3,1,13,0,11,1,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,129,14,80,23,42,35,,,,44,64,26,42,,,,,,13,13,13,1,,,4,,,,"0.44",18,18,18,6
File,"UpdateTest.java",1,1,1,1,5,0,5,0,,,,,1,0,1,8,,8,8,0,8,,0,0,0,8,,73,13,60,36,20,0,,,,34,43,28,18,,,,,,1,1,1,1,,,0,,,,"0.00",8,8,8,8
Package,"net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sf",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sf.jsqlparser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
