Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ProjectManagerWindow.java",1,1,1,1,14,1,13,0,,,,,10,2,0,24,,24,22,10,24,,0,11,0,13,,355,41,299,91,198,15,,,,193,233,97,164,,,,,,6,4,6,5,,,2,,,,"0.05",41,39,41,28
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sybila",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sybila.parasim",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sybila.parasim.extension",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sybila.parasim.extension.projectmanager",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sybila.parasim.extension.projectmanager.view",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sybila.parasim.extension.projectmanager.view.frame",1,1,1,1,14,1,13,0,,,,,10,2,0,,1,,22,10,24,,0,11,0,13,,355,41,299,91,198,15,,,,193,233,97,164,,,,,,6,4,6,5,,,2,,,,"0.05",41,39,41,28
Public Class,"org.sybila.parasim.extension.projectmanager.view.frame.ProjectManagerWindow",1,1,1,1,19,1,16,0,2,39,39,0,,2,0,,,,13,10,15,15,0,11,0,4,,313,39,259,51,198,15,,,,153,193,57,164,,,,,,6,4,6,5,,2,2,,80,79,"0.06",26,24,26,19
Public Constructor,"org.sybila.parasim.extension.projectmanager.view.frame.ProjectManagerWindow.ProjectManagerWindow",,,,,,,,,,,,,,,,,,,,,,,,,,,6,88,11,77,1,62,0,20,1,0,34,48,8,40,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"org.sybila.parasim.extension.projectmanager.view.frame.ProjectManagerWindow.ProjectManagerWindow.(Anon_1)",3,3,3,1,11,0,11,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,13,1,12,0,9,0,,,,4,7,1,6,,,,,,3,3,3,1,,2,2,,0,0,"0.00",3,3,3,1
