Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Module.java",1,1,2,1,12,0,8,4,,,,,8,19,7,62,,60,43,13,62,,21,9,0,32,,887,84,502,163,278,301,,,,229,373,177,251,,,,,,9,9,9,7,,,4,,,,"0.60",121,121,124,84
File,"ModuleClassLoaderTest.java",1,1,1,1,15,1,14,0,,,,,1,0,9,21,,21,21,1,21,,0,0,0,21,,418,65,327,153,236,28,,,,193,226,133,183,,,,,,4,4,4,1,,,2,,,,"0.09",31,31,31,21
Public Implicit Method,"clone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jboss.modules",1,1,1,1,13,0,9,3,,,,,9,19,16,,2,,64,14,83,,21,9,0,53,,1305,149,829,316,514,329,,,,422,599,310,434,,,,,,9,9,9,7,,,4,,,,"0.40",152,152,155,105
Public Final Class,"org.jboss.modules.Module",1,1,1,1,14,0,8,5,1,48,48,0,,19,6,,,,29,8,48,48,17,8,0,23,,842,81,481,142,278,280,,,,208,352,156,251,,,,,,9,9,9,7,,1,3,,90,86,"0.58",93,93,95,65
Anonymous Class,"org.jboss.modules.Module.(Anon_1)",2,2,2,1,8,0,7,1,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,9,0,8,0,6,1,,,,2,4,1,3,,,,,,2,2,2,1,,2,1,,0,0,"0.12",2,2,2,1
Public Method,"org.jboss.modules.Module.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,7,0,5,1,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.14",2,2,2,1
Static Final Class,"org.jboss.modules.Module.DependencyImport",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,4,2,4,4,4,0,0,0,,21,4,17,7,5,0,,,,7,12,7,5,,,,,,1,1,1,1,,1,0,,37,37,"0.00",4,4,4,4
Constructor,"org.jboss.modules.Module.DependencyImport.DependencyImport",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.jboss.modules.Module.DependencyImport.getClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.jboss.modules.Module.DependencyImport.getModule",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.jboss.modules.Module.DependencyImport.isExport",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Enum Type,"org.jboss.modules.Module.LoadState",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,2,3,2,2,0,0,0,2,,15,1,5,4,0,9,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,,,"1.80",0,0,0,0
Public Implicit Method,"org.jboss.modules.Module.LoadState.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"org.jboss.modules.Module.LoadState.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Private Constructor,"org.jboss.modules.Module.Module",,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,0,8,1,6,5,7,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.62",1,1,1,1
Constructor,"org.jboss.modules.Module.Module",,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,1,13,4,11,9,14,4,1,11,14,4,12,3,3,3,1,0,,,,,0,,1,0,,,"0.69",3,3,3,1
Private Static Final Class,"org.jboss.modules.Module.SystemModuleHolder",1,1,1,1,2,0,2,0,1,7,7,0,,0,1,,,,1,0,1,1,0,1,0,0,,19,2,17,7,9,0,,,,8,11,6,8,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Private Constructor,"org.jboss.modules.Module.SystemModuleHolder.SystemModuleHolder",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Generic Method,"org.jboss.modules.Module.addToMapList",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,5,0,4,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
TypeVariable,"org.jboss.modules.Module.addToMapList.K",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
TypeVariable,"org.jboss.modules.Module.addToMapList.V",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Static Method,"org.jboss.modules.Module.fileNameOfClass",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Static Method,"org.jboss.modules.Module.forClass",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,4,2,2,6,3,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Public Static Method,"org.jboss.modules.Module.forClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,0,11,1,8,8,5,4,1,4,8,1,7,4,4,5,4,3,,,,,3,,1,3,,,"0.73",4,4,5,4
Public Method,"org.jboss.modules.Module.getClassLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,22,17,0,7,2,4,10,3,2,0,3,5,2,4,2,2,2,1,0,,,,,0,,1,0,,,"1.43",2,2,2,1
Method,"org.jboss.modules.Module.getClassLoaderPrivate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"org.jboss.modules.Module.getCurrentLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Static Method,"org.jboss.modules.Module.getCurrentLoaderPrivate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.jboss.modules.Module.getDependencies",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.jboss.modules.Module.getExportedPaths",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Final Method,"org.jboss.modules.Module.getExportedResource",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Final Method,"org.jboss.modules.Module.getExportedResource",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Method,"org.jboss.modules.Module.getExportedResources",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Method,"org.jboss.modules.Module.getFallbackLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.jboss.modules.Module.getIdentifier",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Static Method,"org.jboss.modules.Module.getModule",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,3,1,1,8,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.67",1,1,1,1
Public Method,"org.jboss.modules.Module.getModuleLoader",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Final Method,"org.jboss.modules.Module.getResource",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Method,"org.jboss.modules.Module.getResource",,,,,,,,,,,,,,,,,,,,,,,,,,,7,32,0,25,7,17,7,9,11,1,11,21,10,16,7,7,7,7,7,,,,,7,,3,7,,,"0.28",7,7,7,7
Method,"org.jboss.modules.Module.getResources",,,,,,,,,,,,,,,,,,,,,,,,,,,9,39,2,30,8,21,7,12,14,1,13,24,11,19,9,9,9,3,3,,,,,3,,3,3,,,"0.23",9,9,9,3
Public Static Method,"org.jboss.modules.Module.getSystemModule",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Method,"org.jboss.modules.Module.link",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,2,5,0,5,2,0,4,6,2,5,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.jboss.modules.Module.linkDependencies",,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,1,18,2,11,1,4,4,1,5,13,6,8,3,3,3,1,0,,,,,0,,1,0,,,"0.06",3,3,3,1
Anonymous Class,"org.jboss.modules.Module.linkDependencies.(Anon_4)",1,1,1,1,4,0,4,0,1,5,5,0,,0,0,,,,2,0,2,2,0,0,0,2,,11,1,9,1,6,1,,,,2,5,3,3,,,,,,2,2,2,1,,2,1,,0,0,"0.11",3,3,3,2
Public Method,"org.jboss.modules.Module.linkDependencies.(Anon_4).visit",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.50",1,1,1,1
Public Method,"org.jboss.modules.Module.linkDependencies.(Anon_4).visit",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,4,0,2,2,0,2,4,2,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Method,"org.jboss.modules.Module.linkInitial",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,3,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Static Method,"org.jboss.modules.Module.loadClass",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,3,1,1,10,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.33",1,1,1,1
Public Static Method,"org.jboss.modules.Module.loadClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,3,1,1,9,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Public Static Method,"org.jboss.modules.Module.loadClass",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,3,1,1,10,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.33",1,1,1,1
Public Static Method,"org.jboss.modules.Module.loadClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,3,1,1,9,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Method,"org.jboss.modules.Module.loadModuleClass",,,,,,,,,,,,,,,,,,,,,,,,,,,6,34,0,26,6,18,8,7,9,1,11,19,7,15,7,7,8,7,8,,,,,8,,3,8,,,"0.31",7,7,8,7
Public Generic Method,"org.jboss.modules.Module.loadService",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Static Generic Method,"org.jboss.modules.Module.loadService",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,3,1,1,9,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Public Static Generic Method,"org.jboss.modules.Module.loadService",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,3,1,1,9,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
TypeVariable,"org.jboss.modules.Module.loadService.S",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
TypeVariable,"org.jboss.modules.Module.loadService.S",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
TypeVariable,"org.jboss.modules.Module.loadService.S",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Static Method,"org.jboss.modules.Module.pathOf",,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,0,13,3,8,7,4,3,0,6,9,3,7,3,3,3,1,2,,,,,0,,1,0,,,"0.54",3,3,3,1
Static Method,"org.jboss.modules.Module.pathOfClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0,11,4,7,7,4,2,0,6,8,4,6,2,2,2,1,1,,,,,0,,1,0,,,"0.64",2,2,2,1
Method,"org.jboss.modules.Module.resolve",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.jboss.modules.Module.resolve",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,2,0,2,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.jboss.modules.Module.resolveInitial",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,3,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Final Method,"org.jboss.modules.Module.run",,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,0,16,4,11,10,6,5,1,7,11,4,10,4,4,4,1,1,,,,,0,,2,0,,,"0.62",4,4,4,1
Private Method,"org.jboss.modules.Module.setDependencies",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.jboss.modules.Module.setDependencies",,,,,,,,,,,,,,,,,,,,,,,,,,,9,93,4,89,20,63,0,3,3,0,38,67,28,56,3,3,3,1,1,,,,,0,,1,0,,,"0.00",3,3,3,1
Method,"org.jboss.modules.Module.setDependencies",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,1,11,3,7,0,6,4,1,5,9,4,7,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Anonymous Class,"org.jboss.modules.Module.setDependencies.(Anon_2)",5,5,6,4,21,0,21,0,1,9,9,0,,0,0,,,,2,0,2,2,0,0,0,2,,45,1,44,7,32,0,,,,17,32,11,27,,,,,,6,6,7,5,,2,4,,0,0,"0.00",11,11,12,9
Public Method,"org.jboss.modules.Module.setDependencies.(Anon_2).visit",,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,0,19,4,13,0,6,8,1,7,15,7,12,6,6,7,5,4,,,,,4,,4,4,,,"0.00",6,6,7,5
Public Method,"org.jboss.modules.Module.setDependencies.(Anon_2).visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,24,0,24,2,18,0,9,5,1,10,17,4,15,5,5,5,4,3,,,,,3,,3,3,,,"0.00",5,5,5,4
Anonymous Class,"org.jboss.modules.Module.setDependencies.(Anon_3)",3,3,3,1,14,0,14,0,1,10,10,0,,0,0,,,,2,0,2,2,0,0,0,2,,31,1,30,7,22,0,,,,12,22,10,18,,,,,,4,4,4,1,,2,3,,0,0,"0.00",7,7,7,2
