Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CrimsonDOMAdapter.java",3,3,3,2,35,3,19,13,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,151,23,49,22,28,79,,,,26,32,19,17,,,,,,4,4,4,3,,,2,,,,"1.61",6,6,6,4
File,"DOMBuilder.java",3,2,3,1,28,1,15,11,,,,,1,0,1,11,,11,11,2,11,,0,1,0,10,,423,50,187,66,118,186,,,,101,130,61,99,,,,,,23,15,25,1,,,4,,,,"0.99",36,28,38,11
File,"OracleV1DOMAdapter.java",3,3,3,2,34,3,17,14,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,150,22,46,21,26,82,,,,23,29,19,16,,,,,,4,4,4,3,,,2,,,,"1.78",6,6,6,4
File,"OracleV2DOMAdapter.java",3,3,3,2,34,3,17,14,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,150,22,46,21,26,82,,,,23,29,19,16,,,,,,4,4,4,3,,,2,,,,"1.78",6,6,6,4
File,"ProjectXDOMAdapter.java",3,3,3,2,35,3,19,13,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,152,23,49,22,28,80,,,,26,32,19,17,,,,,,4,4,4,3,,,2,,,,"1.63",6,6,6,4
File,"SAXBuilder.java",2,2,2,1,20,1,9,10,,,,,2,0,1,37,,37,37,14,37,,0,2,2,33,,966,107,417,152,233,447,,,,198,276,133,177,,,,,,23,23,23,3,,,3,,,,"1.07",81,81,89,41
File,"XML4JDOMAdapter.java",2,2,2,1,27,2,12,12,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,225,33,76,34,40,118,,,,33,44,27,25,,,,,,5,5,5,3,,,2,,,,"1.55",10,10,10,7
File,"XercesDOMAdapter.java",2,2,2,1,26,2,13,12,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,224,31,80,36,45,115,,,,33,44,27,25,,,,,,5,5,5,3,,,2,,,,"1.44",10,10,10,7
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jdom",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jdom.adapters",2,2,2,1,30,2,15,12,,,,,8,0,0,,6,,18,0,18,,0,0,0,18,,1052,154,346,156,193,556,,,,164,210,130,116,,,,,,5,5,5,3,,,2,,,,"1.61",44,44,44,30
Public Class,"org.jdom.adapters.CrimsonDOMAdapter",3,3,3,2,35,3,19,13,1,10,10,0,,0,0,,,,2,0,2,2,0,0,0,2,,85,9,40,13,28,36,,,,17,23,10,17,,,,,,4,4,4,3,,2,2,,0,0,"0.90",6,6,6,4
Public Method,"org.jdom.adapters.CrimsonDOMAdapter.createDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,1,10,1,7,9,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.90",2,2,2,1
Public Method,"org.jdom.adapters.CrimsonDOMAdapter.getDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,4,51,6,28,11,21,17,7,4,1,15,18,8,14,4,4,4,3,4,,,,,3,,2,3,,,"0.61",4,4,4,3
Public Class,"org.jdom.adapters.OracleV1DOMAdapter",3,3,3,2,34,3,17,14,1,10,10,0,,0,0,,,,2,0,2,2,0,0,0,2,,84,8,37,12,26,39,,,,14,20,10,16,,,,,,4,4,4,3,,2,2,,0,0,"1.05",6,6,6,4
Public Method,"org.jdom.adapters.OracleV1DOMAdapter.createDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,1,10,1,7,9,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.90",2,2,2,1
Public Method,"org.jdom.adapters.OracleV1DOMAdapter.getDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,4,49,5,25,10,19,19,8,4,1,12,15,8,13,4,4,4,3,4,,,,,3,,2,3,,,"0.76",4,4,4,3
Public Class,"org.jdom.adapters.OracleV2DOMAdapter",3,3,3,2,34,3,17,14,1,10,10,0,,0,0,,,,2,0,2,2,0,0,0,2,,84,8,37,12,26,39,,,,14,20,10,16,,,,,,4,4,4,3,,2,2,,0,0,"1.05",6,6,6,4
Public Method,"org.jdom.adapters.OracleV2DOMAdapter.createDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,1,10,1,7,9,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.90",2,2,2,1
Public Method,"org.jdom.adapters.OracleV2DOMAdapter.getDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,4,49,5,25,10,19,19,8,4,1,12,15,8,13,4,4,4,3,4,,,,,3,,2,3,,,"0.76",4,4,4,3
Public Class,"org.jdom.adapters.ProjectXDOMAdapter",3,3,3,2,35,3,19,13,1,10,10,0,,0,0,,,,2,0,2,2,0,0,0,2,,86,9,40,13,28,37,,,,17,23,10,17,,,,,,4,4,4,3,,2,2,,0,0,"0.93",6,6,6,4
Public Method,"org.jdom.adapters.ProjectXDOMAdapter.createDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,1,10,1,7,9,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.90",2,2,2,1
Public Method,"org.jdom.adapters.ProjectXDOMAdapter.getDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,4,51,6,28,11,21,17,7,4,1,15,18,8,14,4,4,4,3,4,,,,,3,,2,3,,,"0.61",4,4,4,3
Public Class,"org.jdom.adapters.XML4JDOMAdapter",3,3,3,2,45,4,24,17,1,13,13,0,,0,0,,,,2,0,2,2,0,0,0,2,,105,11,51,16,37,45,,,,19,26,12,22,,,,,,5,5,5,3,,2,2,,0,0,"0.88",7,7,7,4
Public Method,"org.jdom.adapters.XML4JDOMAdapter.createDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,1,10,1,7,9,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.90",2,2,2,1
Public Method,"org.jdom.adapters.XML4JDOMAdapter.getDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,9,70,8,39,14,30,25,8,5,1,17,21,10,19,5,5,5,3,4,,,,,3,,2,3,,,"0.64",5,5,5,3
Class,"org.jdom.adapters.XML4JErrHandler",1,1,1,1,15,1,4,10,2,2,2,0,,0,0,,,,3,0,3,3,0,0,0,3,,51,7,14,7,3,30,,,,3,7,4,3,,,,,,1,1,1,1,,1,0,,0,0,"2.14",3,3,3,3
Public Method,"org.jdom.adapters.XML4JErrHandler.error",,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,4,2,1,10,0,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.50",1,1,1,1
Public Method,"org.jdom.adapters.XML4JErrHandler.fatalError",,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,4,2,1,10,0,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.50",1,1,1,1
Public Method,"org.jdom.adapters.XML4JErrHandler.warning",,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,4,2,1,10,0,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.50",1,1,1,1
Public Class,"org.jdom.adapters.XercesDOMAdapter",3,3,3,2,44,3,26,15,1,13,13,0,,0,0,,,,2,0,2,2,0,0,0,2,,104,9,55,18,42,42,,,,19,26,12,22,,,,,,5,5,5,3,,2,2,,0,0,"0.76",7,7,7,4
Public Method,"org.jdom.adapters.XercesDOMAdapter.createDocument",,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,0,8,1,5,9,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"1.12",2,2,2,1
