Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"SpoutBlockListener.java",3,3,4,1,12,1,11,0,,,,,1,0,0,7,,7,7,1,7,,0,1,0,6,,147,19,104,47,47,24,,,,55,77,43,46,,,,,,5,5,11,1,,,3,,,,"0.23",21,21,31,7
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.getspout",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.getspout.spout",3,3,4,1,12,1,11,0,,,,,1,0,0,,1,,7,1,7,,0,1,0,6,,147,19,104,47,47,24,,,,55,77,43,46,,,,,,5,5,11,1,,,3,,,,"0.23",21,21,31,7
Public Class,"org.getspout.spout.SpoutBlockListener",3,3,4,1,12,1,11,0,2,23,23,0,,0,0,,,,7,1,7,7,0,1,0,6,,101,15,81,25,47,5,,,,33,55,21,46,,,,,,5,5,11,1,,1,3,,57,28,"0.06",21,21,31,7
Public Constructor,"org.getspout.spout.SpoutBlockListener.SpoutBlockListener",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,5,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.getspout.spout.SpoutBlockListener.breakOnPushed",,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,0,12,2,7,0,10,4,1,3,7,2,6,4,4,4,1,1,,,,,0,,3,0,,,"0.00",4,4,4,1
Public Method,"org.getspout.spout.SpoutBlockListener.onBlockBreak",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,4,20,5,13,0,16,5,1,9,14,4,13,5,5,5,1,1,,,,,0,,3,0,,,"0.00",5,5,5,1
Public Method,"org.getspout.spout.SpoutBlockListener.onBlockCanBuild",,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,0,13,4,7,0,11,4,1,4,8,3,7,4,4,11,1,1,,,,,0,,2,0,,,"0.00",4,4,11,1
Public Method,"org.getspout.spout.SpoutBlockListener.onBlockPistonExtend",,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,2,14,5,9,0,10,3,0,7,10,4,9,3,3,3,1,1,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Method,"org.getspout.spout.SpoutBlockListener.onBlockPistonRetract",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,7,2,3,0,7,2,0,2,4,1,3,2,2,3,1,1,,,,,0,,1,0,,,"0.00",2,2,3,1
Private Method,"org.getspout.spout.SpoutBlockListener.pistonBlockMove",,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,9,4,6,0,7,2,0,5,7,4,6,2,2,4,1,0,,,,,0,,1,0,,,"0.00",2,2,4,1
