Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"IsArrayContainingTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,61,16,45,13,27,0,,,,28,35,13,24,,,,,,1,1,1,1,,,0,,,,"0.00",6,6,6,6
File,"Matcher.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,21,2,5,4,0,14,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,"2.80",0,0,0,0
File,"MatcherAssert.java",1,1,1,1,3,0,3,0,,,,,1,9,0,9,,9,0,0,9,,0,0,0,9,,54,12,40,16,14,2,,,,18,29,16,14,,,,,,2,2,2,1,,,1,,,,"0.05",11,11,11,9
File,"StringDescription.java",3,3,3,1,12,0,12,0,,,,,1,0,0,5,,5,5,1,5,,0,2,0,3,,76,9,67,10,47,0,,,,37,54,12,43,,,,,,10,10,10,1,,,3,,,,"0.00",19,16,19,5
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.hamcrest",0,0,0,0,0,0,0,0,,,,,1,0,0,,1,,2,0,2,,2,0,0,0,,21,2,5,4,0,14,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,"2.80",0,0,0,0
Public Interface,"org.hamcrest.Matcher",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,2,0,2,2,2,0,0,0,,14,1,4,3,0,9,,,,2,3,3,0,,,,,,0,0,0,0,,0,0,,0,0,"2.25",0,0,0,0
Abstract Method,"org.hamcrest.Matcher.describeTo",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,1,1,0,3,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"3.00",0,0,0,0
Abstract Method,"org.hamcrest.Matcher.match",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,1,1,0,6,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"6.00",0,0,0,0
Package,"org.hamcrest.collection",1,1,1,1,7,1,6,0,,,,,1,0,0,,1,,6,1,6,,0,0,0,6,,61,16,45,13,27,0,,,,28,35,13,24,,,,,,1,1,1,1,,,0,,,,"0.00",6,6,6,6
Public Class,"org.hamcrest.collection.IsArrayContainingTest",1,1,1,1,7,1,6,0,1,11,11,0,,0,0,,,,6,1,6,6,0,0,0,6,,55,14,41,9,27,0,,,,24,31,9,24,,,,,,1,1,1,1,,2,0,,33,33,"0.00",6,6,6,6
Public Method,"org.hamcrest.collection.IsArrayContainingTest.testDoesNotMatchAnArrayThatDoesntContainAnElementMatchingTheGivenMatcher",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,4,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.hamcrest.collection.IsArrayContainingTest.testDoesNotMatchNull",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.hamcrest.collection.IsArrayContainingTest.testDoesNotMatchObjectThatIsNotAnArray",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.hamcrest.collection.IsArrayContainingTest.testHasAReadableDescription",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,1,4,2,2,0,1,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
