Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CouchbaseAsyncBucket.java",1,1,1,1,12,0,11,0,,,,,58,0,12,134,,134,134,8,134,,0,0,1,133,,1234,133,1073,310,630,28,,,,366,549,267,325,,,,,,9,5,10,7,,,1,,,,"0.03",227,182,248,193
File,"KeyValueTest.java",1,1,1,1,11,1,9,0,,,,,2,0,0,39,,39,39,1,39,,1,0,0,38,,555,122,410,197,256,23,,,,274,325,165,230,,,,,,3,3,3,1,,,1,,,,"0.06",49,49,49,39
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.couchbase",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.couchbase.client",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.couchbase.client.java",1,1,1,1,12,0,11,0,,,,,60,0,12,,2,,173,9,173,,1,0,1,171,,1789,255,1483,507,886,51,,,,640,874,432,555,,,,,,9,5,10,7,,,1,,,,"0.03",276,231,297,232
Public Class,"com.couchbase.client.java.CouchbaseAsyncBucket",1,1,1,1,13,0,12,0,2,39,39,0,,0,12,,,,77,8,77,77,0,0,1,76,,1154,131,995,232,630,28,,,,288,471,189,325,,,,,,2,2,3,1,,1,1,,95,91,"0.03",86,86,93,77
Public Constructor,"com.couchbase.client.java.CouchbaseAsyncBucket.CouchbaseAsyncBucket",,,,,,,,,,,,,,,,,,,,,,,,,,,18,28,3,25,2,21,0,12,2,0,20,23,2,21,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Generic Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append",,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,3,37,5,28,0,5,1,0,12,18,5,15,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Generic Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Generic Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Generic Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append",,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,2,28,3,21,0,3,2,0,6,11,5,7,2,2,3,1,1,,,,,0,,0,0,,,"0.00",2,2,3,1
Anonymous Class,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_43)",1,1,1,1,5,0,5,0,1,6,6,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,1,5,0,,,,2,3,2,2,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_43).call",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,4,0,6,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_44)",9,4,10,7,26,2,24,0,1,9,9,0,,0,0,,,,1,0,1,1,0,0,0,1,,27,2,25,0,21,0,,,,8,12,1,11,,,,,,9,4,10,7,,2,1,,0,0,"0.00",9,4,10,7
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_44).call",,,,,,,,,,,,,,,,,,,,,,,,,,,8,26,2,24,0,20,0,11,14,1,8,12,1,11,9,4,10,7,1,,,,,1,,1,1,,,"0.00",9,4,10,7
Anonymous Class,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_50)",1,1,1,1,19,0,19,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,20,0,20,0,17,0,,,,3,6,3,3,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_50).call",,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,0,19,0,16,0,10,1,0,3,6,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_50).call.(Anon_51)",1,1,1,1,4,0,4,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_50).call.(Anon_51).call",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_50).call.(Anon_52)",1,1,1,1,6,0,6,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,7,0,6,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.append.(Anon_50).call.(Anon_52).call",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,0,5,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"com.couchbase.client.java.CouchbaseAsyncBucket.append.D",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
TypeVariable,"com.couchbase.client.java.CouchbaseAsyncBucket.append.D",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
TypeVariable,"com.couchbase.client.java.CouchbaseAsyncBucket.append.D",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
TypeVariable,"com.couchbase.client.java.CouchbaseAsyncBucket.append.D",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.bucketManager",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.close",,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,0,15,2,10,0,3,1,0,4,7,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.couchbase.client.java.CouchbaseAsyncBucket.close.(Anon_56)",1,1,1,1,4,0,4,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.close.(Anon_56).call",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"com.couchbase.client.java.CouchbaseAsyncBucket.close.(Anon_57)",1,1,1,1,5,0,5,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.close.(Anon_57).call",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,0,4,0,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.core",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.counter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.counter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.counter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,2,32,3,24,0,3,1,0,9,15,4,11,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.counter",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.counter",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.counter",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.couchbase.client.java.CouchbaseAsyncBucket.counter",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
