Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Arrays.java",2,2,3,1,8,0,8,0,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,48,7,36,12,19,5,,,,18,30,15,17,,,,,,3,3,4,1,,,2,,,,"0.14",11,11,12,4
File,"Clazz.java",1,1,1,1,7,0,7,0,,,,,2,1,0,19,,19,18,6,19,,0,0,0,19,,220,22,198,109,78,3,,,,99,135,81,71,,,,,,7,7,9,1,,,3,,,,"0.02",32,32,34,19
File,"ClazzDaoHibernate.java",1,1,1,1,10,0,10,0,,,,,1,0,0,8,,8,8,0,8,,0,1,1,6,,109,9,95,39,53,5,,,,48,62,35,37,,,,,,3,3,3,1,,,1,,,,"0.05",13,13,13,8
File,"Javadoc.java",1,1,1,1,11,0,11,0,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,44,5,34,21,13,5,,,,21,25,19,10,,,,,,2,2,2,1,,,0,,,,"0.15",3,3,3,2
File,"JavadocParser.java",3,3,3,1,17,0,17,0,,,,,1,0,0,2,,2,2,1,2,,0,1,0,1,,58,5,47,20,24,7,,,,27,37,20,22,,,,,,4,4,4,1,,,3,,,,"0.15",6,6,6,2
File,"JavadocParserTest.java",1,1,1,1,12,0,11,1,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,44,4,34,20,14,7,,,,21,25,18,9,,,,,,2,2,2,1,,,0,,,,"0.21",3,3,3,2
Package,"javabot",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"javabot.commands",1,1,1,1,11,0,11,0,,,,,2,0,0,,1,,2,1,2,,0,0,0,2,,44,5,34,21,13,5,,,,21,25,19,10,,,,,,2,2,2,1,,,0,,,,"0.15",3,3,3,2
Public Class,"javabot.commands.Javadoc",2,2,2,1,19,0,19,0,2,10,10,0,,0,0,,,,1,1,1,1,0,0,0,1,,30,2,23,10,13,5,,,,10,14,8,10,,,,,,2,2,2,1,,1,0,,0,0,"0.22",2,2,2,1
Public Method,"javabot.commands.Javadoc.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,0,19,7,13,0,6,2,0,9,12,6,10,2,2,2,1,0,,,,,0,,0,0,,,"0.00",2,2,2,1
Anonymous Class,"javabot.commands.Javadoc.execute.(Anon_1)",1,1,1,1,4,0,4,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"javabot.commands.Javadoc.execute.(Anon_1).write",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,3,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"javabot.dao",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"javabot.dao.impl",1,1,1,1,10,0,10,0,,,,,1,0,0,,1,,8,0,8,,0,1,1,6,,109,9,95,39,53,5,,,,48,62,35,37,,,,,,3,3,3,1,,,1,,,,"0.05",13,13,13,8
Public Class,"javabot.dao.impl.ClazzDaoHibernate",1,1,1,1,10,0,10,0,2,10,10,0,,0,0,,,,8,0,8,8,0,1,1,6,,94,6,83,27,53,5,,,,36,50,23,37,,,,,,3,3,3,1,,2,1,,0,0,"0.06",13,13,13,8
Protected Constructor,"javabot.dao.impl.ClazzDaoHibernate.ClazzDaoHibernate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"javabot.dao.impl.ClazzDaoHibernate.deleteAll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,3,5,0,5,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"javabot.dao.impl.ClazzDaoHibernate.findAll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,3,4,0,5,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
