Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractLZWInputStream.java",2,2,2,1,13,0,11,2,,,,,1,0,0,10,,12,12,12,12,,0,0,8,4,,199,16,132,47,80,51,,,,82,107,45,67,,,,,,6,6,6,4,,,3,,,,"0.39",24,24,25,15
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons.compress",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons.compress.compressors",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons.compress.compressors.z",2,2,2,1,13,0,11,2,,,,,1,0,0,,1,,12,12,12,,0,0,8,4,,199,16,132,47,80,51,,,,82,107,45,67,,,,,,6,6,6,4,,,3,,,,"0.39",24,24,25,15
Public Abstract Class,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream",2,2,2,1,13,0,11,2,1,3,3,0,,0,0,,,,12,12,12,12,0,0,8,4,,174,13,128,43,80,33,,,,78,103,41,67,,,,,,6,6,6,4,,2,3,,79,79,"0.26",24,24,25,15
Public Constructor,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.AbstractLZWInputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Abstract Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.addEntry",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,2,2,0,3,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"1.50",0,0,0,0
Protected Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.addEntry",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,0,10,2,7,4,4,2,0,6,8,2,6,2,2,2,1,1,,,,,0,,1,0,,,"0.40",2,2,2,1
Protected Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.addRepeatOfPreviousCode",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,10,2,6,4,2,4,1,6,9,3,6,3,3,3,1,0,,,,,0,,1,0,,,"0.40",3,3,3,1
Public Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.close",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Abstract Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.decompressNextSymbol",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,1,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"3.00",0,0,0,0
Protected Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.expandCodeToOutputStack",,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,0,11,2,6,4,5,4,1,6,9,2,7,3,3,4,1,0,,,,,0,,1,0,,,"0.36",3,3,4,1
Protected Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.initializeTables",,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,0,12,3,9,3,4,2,0,10,12,4,8,2,2,2,1,0,,,,,0,,1,0,,,"0.25",2,2,2,1
Public Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.read",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,3,4,0,2,2,0,3,5,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.read",,,,,,,,,,,,,,,,,,,,,,,,,,,8,35,0,35,7,27,0,6,10,1,21,27,6,24,6,6,6,4,7,,,,,7,,3,7,,,"0.00",6,6,6,4
Protected Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.readNextCode",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,0,15,4,11,3,4,3,0,9,12,4,9,3,3,3,3,3,,,,,3,,2,3,,,"0.20",3,3,3,3
Protected Method,"org.apache.commons.compress.compressors.z.AbstractLZWInputStream.setClearCode",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
