Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ERXArrayUtilities.java",2,2,3,1,15,0,8,6,,,,,9,30,2,46,,46,16,1,46,,0,0,0,46,,888,64,413,130,239,411,,,,214,333,144,249,,,,,,10,10,11,6,,,5,,,,"1.00",127,127,145,58
Package,"er",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"er.extensions",2,2,3,1,15,0,8,6,,,,,9,30,2,,1,,16,1,46,,0,0,0,46,,888,64,413,130,239,411,,,,214,333,144,249,,,,,,10,10,11,6,,,5,,,,"1.00",127,127,145,58
Public Class,"er.extensions.ERXArrayUtilities",3,3,3,1,19,0,10,8,1,25,25,0,,30,2,,,,0,0,30,30,0,0,0,30,,874,62,407,124,239,405,,,,208,327,138,249,,,,,,10,10,11,6,,1,5,,96,96,"1.00",101,101,116,42
Static Class,"er.extensions.ERXArrayUtilities.AvgNonNullOperator",2,2,3,1,13,0,9,3,2,4,4,0,,0,0,,,,2,0,2,2,0,0,0,2,,38,2,20,6,11,16,,,,9,15,7,11,,,,,,4,4,5,1,,1,2,,0,0,"0.80",5,5,6,2
Public Constructor,"er.extensions.ERXArrayUtilities.AvgNonNullOperator.AvgNonNullOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.AvgNonNullOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,1,17,4,11,6,10,6,1,9,13,5,11,4,4,5,1,1,,,,,0,,2,0,,,"0.35",4,4,5,1
Static Class,"er.extensions.ERXArrayUtilities.FetchSpecOperator",1,1,1,1,8,0,5,3,2,4,4,0,,0,0,,,,2,0,2,2,0,0,0,2,,31,1,13,4,5,17,,,,3,8,4,5,,,,,,2,2,2,1,,1,1,,0,0,"1.31",3,3,3,2
Public Constructor,"er.extensions.ERXArrayUtilities.FetchSpecOperator.FetchSpecOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.FetchSpecOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,9,2,5,6,5,2,0,3,6,2,5,2,2,2,1,1,,,,,0,,1,0,,,"0.67",2,2,2,1
Static Class,"er.extensions.ERXArrayUtilities.FlattenOperator",1,1,1,1,5,0,2,3,2,3,3,0,,0,0,,,,2,0,2,2,0,0,0,2,,23,1,6,3,1,16,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,"2.67",2,2,2,2
Public Constructor,"er.extensions.ERXArrayUtilities.FlattenOperator.FlattenOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.FlattenOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Static Class,"er.extensions.ERXArrayUtilities.IsEmptyOperator",1,1,1,1,6,0,3,3,2,2,2,0,,0,0,,,,2,0,2,2,0,0,0,2,,25,1,8,3,2,16,,,,1,5,3,2,,,,,,2,2,2,1,,1,0,,0,0,"2.00",3,3,3,2
Public Constructor,"er.extensions.ERXArrayUtilities.IsEmptyOperator.IsEmptyOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.IsEmptyOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,0,5,1,2,6,2,1,0,1,3,1,2,2,2,2,1,0,,,,,0,,0,0,,,"1.20",2,2,2,1
Static Class,"er.extensions.ERXArrayUtilities.ObjectAtIndexOperator",2,2,3,1,10,0,7,3,2,2,2,0,,0,0,,,,2,0,2,2,0,0,0,2,,33,1,16,6,9,16,,,,6,12,6,8,,,,,,4,4,5,1,,1,1,,0,0,"1.00",5,5,6,2
Public Constructor,"er.extensions.ERXArrayUtilities.ObjectAtIndexOperator.ObjectAtIndexOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.ObjectAtIndexOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,5,19,0,13,4,9,6,8,4,1,6,10,4,8,4,4,5,1,0,,,,,0,,1,0,,,"0.46",4,4,5,1
Static Class,"er.extensions.ERXArrayUtilities.SortOperator",1,1,1,1,8,0,5,3,2,4,4,0,,0,0,,,,2,1,2,2,0,0,0,2,,32,2,14,4,5,16,,,,4,9,4,5,,,,,,2,2,2,1,,1,1,,0,0,"1.14",3,3,3,2
Public Constructor,"er.extensions.ERXArrayUtilities.SortOperator.SortOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,3,1,1,1,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.SortOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,7,1,4,6,3,2,0,2,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.86",2,2,2,1
Static Class,"er.extensions.ERXArrayUtilities.SubarrayWithRangeOperator",1,1,2,1,10,0,6,3,2,4,4,0,,0,0,,,,2,0,2,2,0,0,0,2,,32,1,15,7,8,16,,,,6,11,7,8,,,,,,2,2,3,1,,1,1,,0,0,"1.07",3,3,4,2
Public Constructor,"er.extensions.ERXArrayUtilities.SubarrayWithRangeOperator.SubarrayWithRangeOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.SubarrayWithRangeOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,0,12,5,8,6,6,2,0,6,9,5,8,2,2,3,1,0,,,,,0,,1,0,,,"0.50",2,2,3,1
Static Class,"er.extensions.ERXArrayUtilities.UniqueOperator",1,1,1,1,6,0,3,3,2,3,3,0,,0,0,,,,2,0,2,2,0,0,0,2,,25,1,8,3,2,16,,,,1,5,3,2,,,,,,1,1,1,1,,1,0,,0,0,"2.00",2,2,2,2
Public Constructor,"er.extensions.ERXArrayUtilities.UniqueOperator.UniqueOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXArrayUtilities.UniqueOperator.compute",,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,5,1,2,6,2,1,0,1,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.20",1,1,1,1
Public Static Method,"er.extensions.ERXArrayUtilities.addObjectsFromArrayWithoutDuplicates",,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,0,6,2,3,7,5,3,0,4,6,3,5,3,3,3,1,0,,,,,0,,2,0,,,"1.17",3,3,3,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayByAddingObjectsFromArrayWithoutDuplicates",,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,0,14,4,10,10,7,4,1,9,12,5,10,4,4,4,1,1,,,,,0,,3,0,,,"0.71",4,4,4,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayContainsAnyObjectFromArray",,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,0,11,2,6,9,6,4,1,6,9,3,7,4,4,7,4,2,,,,,2,,3,2,,,"0.82",4,4,7,4
Public Static Method,"er.extensions.ERXArrayUtilities.arrayContainsArray",,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,0,13,2,8,9,6,5,1,7,11,3,9,5,5,9,5,5,,,,,5,,3,5,,,"0.69",5,5,9,5
Public Static Method,"er.extensions.ERXArrayUtilities.arrayFromPropertyList",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,3,1,1,7,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayGroupedByKeyPath",,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,0,3,1,1,16,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"5.33",1,1,1,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayGroupedByKeyPath",,,,,,,,,,,,,,,,,,,,,,,,,,,8,46,0,25,10,17,21,8,14,1,14,20,8,18,7,7,9,1,1,,,,,0,,4,0,,,"0.84",7,7,9,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayMinusArray",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,4,2,2,7,4,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"1.75",1,1,1,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayMinusObject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,5,2,3,6,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"1.20",1,1,1,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayWithoutDuplicateKeyValue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,0,11,4,7,11,7,3,0,7,9,5,8,3,3,3,1,0,,,,,0,,2,0,,,"1.00",3,3,3,1
Public Static Method,"er.extensions.ERXArrayUtilities.arrayWithoutDuplicates",,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,0,13,5,9,6,8,3,0,9,11,6,9,3,3,3,1,0,,,,,0,,2,0,,,"0.46",3,3,3,1
