Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractIdentifiableSingleEntityMergeStrategy.java",3,3,3,2,25,1,15,8,,,,,1,0,0,9,,9,9,1,9,,0,3,5,1,,294,26,159,77,95,109,,,,81,113,63,80,,,,,,6,6,6,5,,,3,,,,"0.69",27,27,30,21
File,"RouteStopsInCommonDuplicateScoringStrategy.java",2,2,2,1,7,0,7,0,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,47,5,27,17,8,15,,,,15,22,17,8,,,,,,3,3,3,1,,,2,,,,"0.56",4,4,4,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.onebusaway",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.onebusaway.gtfs_merge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.onebusaway.gtfs_merge.strategies",3,3,3,2,25,1,15,8,,,,,1,0,0,,1,,9,1,9,,0,3,5,1,,294,26,159,77,95,109,,,,81,113,63,80,,,,,,6,6,6,5,,,3,,,,"0.69",27,27,30,21
Public Abstract Generic Class,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy",3,3,3,2,25,1,15,8,1,19,19,0,,0,0,,,,9,1,9,9,0,3,5,1,,275,23,143,62,94,109,,,,66,98,48,80,,,,,,6,6,6,5,,2,3,,66,55,"0.76",27,27,30,21
Public Constructor,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.AbstractIdentifiableSingleEntityMergeStrategy",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.getFuzzyDuplicate",,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,0,24,10,15,4,11,7,1,10,16,7,14,5,5,5,5,3,,,,,3,,2,3,,,"0.17",5,5,5,5
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.getIdentityDuplicate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,4,2,0,4,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.getRawId",,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,9,1,6,7,3,3,0,3,6,1,5,3,3,3,3,2,,,,,2,,1,2,,,"0.78",3,3,3,3
Private Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.hasLikelyFuzzyOverlap",,,,,,,,,,,,,,,,,,,,,,,,,,,7,65,7,33,14,24,25,10,14,1,18,26,13,21,6,6,6,4,2,,,,,2,,3,1,,,"0.76",6,6,6,4
Private Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.hasLikelyIdentifierOverlap",,,,,,,,,,,,,,,,,,,,,,,,,,,6,52,4,27,16,22,21,11,3,0,15,19,13,16,3,3,4,1,1,,,,,0,,1,0,,,"0.78",3,3,4,1
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.pickBestDuplicateDetectionStrategy",,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,2,17,5,11,4,7,4,1,6,10,3,9,4,4,5,4,3,,,,,3,,1,3,,,"0.24",4,4,5,4
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.rename",,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,10,5,6,7,3,2,0,5,7,4,5,2,2,3,1,0,,,,,0,,1,0,,,"0.70",2,2,3,1
Protected Method,"org.onebusaway.gtfs_merge.strategies.AbstractIdentifiableSingleEntityMergeStrategy.save",,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,0,10,3,6,12,6,2,0,5,7,2,6,2,2,2,1,0,,,,,0,,1,0,,,"1.20",2,2,2,1
Package,"org.onebusaway.gtfs_merge.strategies.scoring",2,2,2,1,7,0,7,0,,,,,1,0,0,,1,,2,0,2,,0,1,0,1,,47,5,27,17,8,15,,,,15,22,17,8,,,,,,3,3,3,1,,,2,,,,"0.56",4,4,4,2
Public Class,"org.onebusaway.gtfs_merge.strategies.scoring.RouteStopsInCommonDuplicateScoringStrategy",2,2,2,1,7,0,7,0,2,9,9,0,,0,0,,,,2,0,2,2,0,1,0,1,,35,2,18,8,8,15,,,,6,13,8,8,,,,,,3,3,3,1,,1,2,,0,0,"0.83",4,4,4,2
Private Method,"org.onebusaway.gtfs_merge.strategies.scoring.RouteStopsInCommonDuplicateScoringStrategy.getAllStopsForRoute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,2,5,0,5,3,0,3,8,4,5,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"org.onebusaway.gtfs_merge.strategies.scoring.RouteStopsInCommonDuplicateScoringStrategy.score",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,4,3,0,5,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
