Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DiscoveryFile.java",1,1,1,1,7,0,3,3,,,,,1,0,0,12,,12,12,5,12,,0,0,7,5,,131,15,50,21,16,66,,,,24,37,21,16,,,,,,1,1,1,1,,,0,,,,"1.32",12,12,12,12
File,"DocumentMetadata.java",1,1,1,1,4,0,3,0,,,,,1,0,20,31,,31,31,0,31,,0,2,0,29,,196,33,128,56,59,35,,,,58,92,56,37,,,,,,2,2,2,1,,,1,,,,"0.27",33,33,33,31
File,"DocumentMetadataKeys.java",0,0,0,0,0,0,0,0,,,,,1,0,8,0,,0,0,0,0,,0,0,0,0,,32,2,11,10,8,19,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,"1.73",0,0,0,0
File,"FileProcessor.java",2,2,2,1,18,1,11,5,,,,,1,3,1,17,,19,16,5,19,,1,9,1,8,,407,42,243,100,137,123,,,,139,186,97,117,,,,,,7,7,9,4,,,3,,,,"0.51",44,44,49,22
File,"FreeEedMainTest.java",3,3,3,1,23,0,20,2,,,,,1,1,1,2,,2,1,0,2,,0,0,0,2,,107,6,54,23,31,47,,,,33,41,21,27,,,,,,6,6,6,1,,,2,,,,"0.87",7,7,7,2
File,"FreeEedSmallTest.java",6,6,6,1,38,0,34,4,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,68,4,44,16,26,20,,,,26,33,15,22,,,,,,6,6,6,1,,,2,,,,"0.45",6,6,6,1
File,"MRFreeEedProcess.java",5,5,6,1,40,3,33,3,,,,,1,1,1,6,,6,5,1,6,,0,4,0,2,,305,33,234,77,163,41,,,,142,180,78,128,,,,,,9,9,12,1,,,5,,,,"0.18",34,34,39,6
File,"Reduce.java",3,3,3,1,26,1,23,2,,,,,1,0,1,8,,8,8,9,8,,0,3,3,2,,286,29,225,111,144,34,,,,141,172,95,122,,,,,,7,7,7,1,,,3,,,,"0.15",28,28,29,8
File,"WindowsReduce.java",1,1,1,1,11,0,10,0,,,,,1,2,1,6,,6,4,1,6,,0,1,2,3,,111,12,76,30,41,23,,,,41,54,25,34,,,,,,3,3,3,1,,,2,,,,"0.30",11,11,11,6
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.freeeed",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.freeeed.main",2,2,2,1,13,0,10,2,,,,,9,7,33,,9,,78,21,85,,1,19,13,52,,1643,176,1065,444,625,408,,,,613,805,418,503,,,,,,9,9,12,4,,,5,,,,"0.38",175,175,186,88
Public Class,"org.freeeed.main.DiscoveryFile",1,1,1,1,7,0,3,3,1,3,3,0,,0,0,,,,12,5,12,12,0,0,7,5,,110,13,47,18,16,50,,,,21,34,18,16,,,,,,1,1,1,1,,1,0,,73,73,"1.06",12,12,12,12
Public Constructor,"org.freeeed.main.DiscoveryFile.DiscoveryFile",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Public Constructor,"org.freeeed.main.DiscoveryFile.DiscoveryFile",,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,0,6,1,4,9,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Protected Method,"org.freeeed.main.DiscoveryFile.getHash",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Method,"org.freeeed.main.DiscoveryFile.getMrkey",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.freeeed.main.DiscoveryFile.getPath",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.freeeed.main.DiscoveryFile.getRealFileName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Method,"org.freeeed.main.DiscoveryFile.isHasAttachments",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Method,"org.freeeed.main.DiscoveryFile.setHasAttachments",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.freeeed.main.DiscoveryFile.setHash",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Method,"org.freeeed.main.DiscoveryFile.setMrkey",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Method,"org.freeeed.main.DiscoveryFile.setPath",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Protected Method,"org.freeeed.main.DiscoveryFile.setRealFileName",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Class,"org.freeeed.main.DocumentMetadata",1,1,1,1,4,0,3,0,1,1,1,0,,0,20,,,,31,0,31,31,0,2,0,29,,191,31,125,53,59,35,,,,55,89,53,37,,,,,,2,2,2,1,,2,1,,0,0,"0.28",33,33,33,31
Public Method,"org.freeeed.main.DocumentMetadata.addField",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,4,1,2,7,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.75",1,1,1,1
Public Method,"org.freeeed.main.DocumentMetadata.getDocumentParent",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.freeeed.main.DocumentMetadata.getDocumentText",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.freeeed.main.DocumentMetadata.getMessageCC",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.freeeed.main.DocumentMetadata.getMessageCreationDate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.freeeed.main.DocumentMetadata.getMessageDate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.freeeed.main.DocumentMetadata.getMessageDateReceived",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
