Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ECLBuilder.java",1,1,1,1,7,0,6,0,,,,,4,0,2,12,,12,12,1,12,,1,2,3,6,,171,27,105,43,46,39,,,,47,70,39,35,,,,,,4,3,4,1,,,2,,,,"0.37",21,19,22,12
File,"ECLCompiler.java",3,3,3,1,17,1,15,0,,,,,1,0,1,6,,6,6,4,6,,5,1,0,0,,137,21,114,47,69,2,,,,67,87,46,52,,,,,,8,8,10,5,,,4,,,,"0.02",19,19,21,10
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.hpccsystems",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.hpccsystems.eclide",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.hpccsystems.eclide.builder",2,2,2,1,11,0,9,0,,,,,5,0,3,,2,,18,5,18,,6,3,3,6,,308,48,219,90,115,41,,,,114,157,85,87,,,,,,8,8,10,5,,,4,,,,"0.19",40,38,43,22
Public Class,"org.hpccsystems.eclide.builder.ECLBuilder",2,2,2,1,10,0,9,1,1,11,11,0,,0,2,,,,5,0,5,5,1,1,3,0,,132,19,90,28,46,23,,,,32,55,24,35,,,,,,3,3,3,1,,2,2,,0,0,"0.26",11,11,12,5
Class,"org.hpccsystems.eclide.builder.ECLBuilder.ECLDeltaVisitor",4,2,4,1,18,0,14,4,2,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,25,0,16,3,11,9,,,,7,10,3,8,,,,,,4,2,4,1,,1,1,,0,0,"0.56",4,2,4,1
Public Method,"org.hpccsystems.eclide.builder.ECLBuilder.ECLDeltaVisitor.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,0,14,2,11,4,4,4,1,7,9,2,8,4,2,4,1,3,,,,,0,,1,0,,,"0.29",4,2,4,1
Class,"org.hpccsystems.eclide.builder.ECLBuilder.ECLErrorHandler",1,1,1,1,3,0,3,0,1,5,5,0,,0,0,,,,5,1,5,5,0,1,0,4,,25,6,19,7,6,0,,,,6,12,7,5,,,,,,1,1,1,1,,2,0,,60,0,"0.00",5,5,5,5
