Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseRequest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,40,14,23,10,7,3,,,,11,17,10,7,,,,,,1,1,1,1,,,0,,,,"0.13",5,5,5,5
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,21,0,,0,0,0,0,,0,0,0,0,,64,28,24,23,21,13,,,,22,23,23,0,,,,,,0,0,0,0,,,0,,,,"0.54",0,0,0,0
File,"JsonUtils.java",4,4,4,1,22,0,14,8,,,,,1,3,0,3,,3,0,0,3,,0,0,0,3,,92,8,51,17,32,33,,,,28,35,17,21,,,,,,4,4,4,1,,,1,,,,"0.65",12,12,12,3
File,"PropertiesRequest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,13,4,9,4,2,0,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,"0.00",2,2,2,2
File,"PropertiesResult.java",1,1,1,1,4,0,2,1,,,,,1,1,0,5,,5,4,1,5,,0,0,0,5,,54,14,21,11,4,19,,,,9,15,11,4,,,,,,1,1,1,1,,,0,,,,"0.90",5,5,5,5
File,"RequestType.java",0,0,0,0,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,8,3,5,4,0,0,,,,2,2,2,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"ResultEnvelope.java",1,1,1,1,5,0,3,1,,,,,1,1,6,11,,11,10,4,11,,0,0,0,11,,108,27,57,27,26,24,,,,27,39,26,14,,,,,,1,1,1,1,,,0,,,,"0.42",11,11,11,11
File,"ServiceRequest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,1,0,0,2,,27,5,6,5,0,16,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,"2.67",0,0,0,0
File,"UpdateInventoryRequest.java",1,1,1,1,5,0,3,2,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,50,13,20,10,5,17,,,,10,15,10,5,,,,,,1,1,1,1,,,0,,,,"0.85",4,4,4,4
File,"UpdateInventoryResult.java",1,1,1,1,4,0,2,1,,,,,1,1,0,5,,5,4,1,5,,0,0,0,5,,46,13,20,10,4,13,,,,8,14,10,4,,,,,,1,1,1,1,,,0,,,,"0.65",5,5,5,5
File,"UpdateMojo.java",2,2,2,1,14,1,8,5,,,,,1,0,0,6,,6,6,5,6,,0,5,0,1,,158,24,66,26,33,68,,,,35,48,26,27,,,,,,4,4,4,1,,,2,,,,"1.03",12,12,14,6
File,"UpdateService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,18,6,12,11,0,0,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"UpdateServiceImpl.java",2,2,2,1,15,1,9,4,,,,,1,1,1,11,,11,10,1,11,,0,7,0,4,,238,39,136,63,68,63,,,,85,107,60,59,,,,,,8,7,9,1,,,3,,,,"0.46",25,24,26,11
File,"Updater.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,21,6,8,7,0,7,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"0.88",0,0,0,0
File,"UpdaterImpl.java",1,1,1,1,13,1,7,4,,,,,1,0,0,10,,10,10,5,10,,0,7,0,3,,192,37,97,47,43,58,,,,57,78,47,42,,,,,,4,4,4,1,,,3,,,,"0.60",18,18,18,10
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.wss",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
