Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PlotRepresentation.java",1,1,1,1,8,0,6,0,,,,,1,0,0,10,,10,10,6,10,,0,1,0,9,,114,24,84,37,49,6,,,,57,70,37,43,,,,,,2,2,2,1,,,1,,,,"0.07",12,12,12,10
File,"PlotsPanel.java",1,1,1,1,12,1,8,1,,,,,8,0,1,25,,25,25,7,25,,0,6,0,19,,372,75,236,91,131,61,,,,133,184,92,116,,,,,,6,6,6,4,,,2,,,,"0.26",40,40,40,28
File,"Trends.java",2,2,2,1,18,2,15,0,,,,,39,0,1,106,,106,106,57,106,,5,45,1,55,,1892,346,1448,344,1016,103,,,,763,1093,409,823,,,,,,24,24,24,15,,,10,,,,"0.07",274,269,289,163
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient.client",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.webclient.client.components",1,1,1,1,10,1,8,1,,,,,9,0,1,,2,,35,13,35,,0,7,0,28,,486,99,320,128,180,67,,,,190,254,129,159,,,,,,6,6,6,4,,,2,,,,"0.21",52,52,52,38
Public Class,"com.griddynamics.jagger.webclient.client.components.PlotRepresentation",1,1,1,1,8,0,6,0,1,10,10,0,,0,0,,,,10,6,10,10,0,1,0,9,,105,22,77,30,49,6,,,,50,63,30,43,,,,,,2,2,2,1,,2,1,,70,65,"0.08",12,12,12,10
