Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GameAchievement.java",1,1,1,1,11,0,5,6,,,,,1,1,0,11,,11,10,8,11,,0,0,0,11,,185,29,75,35,31,81,,,,45,60,35,31,,,,,,3,3,3,1,,,2,,,,"1.08",14,14,15,11
File,"GameStats.java",2,2,2,1,15,0,8,7,,,,,1,2,0,12,,12,10,7,12,,0,0,3,9,,241,30,115,35,58,99,,,,54,86,34,54,,,,,,8,8,8,8,,,3,,,,"0.86",30,30,30,19
File,"L4D2StatsTest.java",1,1,1,1,7,0,7,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,65,12,42,14,22,12,,,,18,24,10,14,,,,,,1,1,1,1,,,0,,,,"0.29",5,5,5,5
File,"Portal2Stats.java",2,2,2,1,14,1,6,7,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,55,9,19,8,6,27,,,,9,14,8,6,,,,,,3,3,3,1,,,1,,,,"1.42",4,4,4,2
File,"Portal2StatsTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,41,9,21,10,7,11,,,,11,15,8,7,,,,,,1,1,1,1,,,0,,,,"0.52",3,3,3,3
File,"SteamId.java",1,1,1,1,14,0,6,7,,,,,1,10,1,51,,51,41,27,51,,0,5,0,46,,848,83,373,127,181,394,,,,177,267,117,167,,,,,,10,10,10,4,,,3,,,,"1.06",86,86,92,54
File,"SteamIdTest.java",1,1,1,1,11,2,9,1,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,113,29,73,40,37,22,,,,53,60,34,37,,,,,,1,1,1,1,,,0,,,,"0.30",6,6,6,6
File,"TF2Stats.java",2,2,2,1,14,0,6,7,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,127,19,53,17,22,55,,,,24,39,18,21,,,,,,4,4,4,1,,,2,,,,"1.04",14,14,14,6
File,"TF2StatsTest.java",1,1,1,1,37,2,35,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,184,20,153,27,131,13,,,,140,145,24,131,,,,,,1,1,1,1,,,0,,,,"0.08",4,4,4,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.koraktor.steamcondenser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
