Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AndroidForwarderRPC.java",1,1,2,1,16,0,13,1,,,,,2,0,1,9,,9,9,7,9,,0,1,2,6,,177,23,132,53,70,22,,,,79,99,48,59,,,,,,4,4,5,1,,,2,,,,"0.17",16,16,19,9
File,"BaseRelayForwarderRPC.java",1,1,2,1,11,0,8,2,,,,,2,0,1,14,,17,17,3,17,,0,3,4,10,,235,30,140,61,68,65,,,,80,107,60,58,,,,,,4,4,8,1,,,1,,,,"0.46",25,25,30,14
File,"OpenTCPForwarderRPC.java",1,1,2,1,15,1,12,2,,,,,3,0,1,8,,8,8,2,8,,0,0,2,6,,146,19,98,44,51,29,,,,58,72,41,41,,,,,,4,4,6,1,,,2,,,,"0.30",13,13,17,8
File,"RelayRPC.java",2,2,3,1,20,1,14,4,,,,,2,0,1,12,,12,12,5,12,,0,6,0,6,,287,35,187,58,120,65,,,,112,146,60,104,,,,,,8,8,12,4,,,2,,,,"0.35",32,32,36,18
Package,"net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.tomp2p",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.tomp2p.relay",2,2,2,1,15,0,11,3,,,,,4,0,2,,2,,29,8,29,,0,9,4,16,,522,65,327,119,188,130,,,,192,253,120,162,,,,,,8,8,12,4,,,2,,,,"0.40",57,57,66,32
Public Abstract Class,"net.tomp2p.relay.BaseRelayForwarderRPC",1,1,2,1,11,0,8,2,2,26,26,2,,0,1,,,,16,3,16,16,0,3,4,9,,205,26,114,35,68,65,,,,54,81,34,58,,,,,,4,4,8,1,,2,1,,71,56,"0.57",23,23,28,13
Public Constructor,"net.tomp2p.relay.BaseRelayForwarderRPC.BaseRelayForwarderRPC",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,1,3,0,9,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Abstract Method,"net.tomp2p.relay.BaseRelayForwarderRPC.forwardToUnreachable",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,1,1,0,8,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"8.00",0,0,0,0
Private Method,"net.tomp2p.relay.BaseRelayForwarderRPC.getNeighbors",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,1,6,0,5,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Final Method,"net.tomp2p.relay.BaseRelayForwarderRPC.getPeerMap",,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,1,14,3,9,3,6,5,1,6,12,5,9,4,4,5,1,1,,,,,0,,1,0,,,"0.21",4,4,5,1
Private Method,"net.tomp2p.relay.BaseRelayForwarderRPC.handleNeigbhor",,,,,,,,,,,,,,,,,,,,,,,,,,,15,40,6,22,6,17,12,12,8,1,13,17,6,16,4,4,8,1,1,,,,,0,,1,0,,,"0.55",4,4,8,1
Private Method,"net.tomp2p.relay.BaseRelayForwarderRPC.handlePing",,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,0,5,3,3,7,4,1,0,2,3,2,2,2,2,2,1,0,,,,,0,,0,0,,,"1.40",2,2,2,1
Public Final Method,"net.tomp2p.relay.BaseRelayForwarderRPC.handleResponse",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,5,3,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.20",1,1,1,1
Public Final Method,"net.tomp2p.relay.BaseRelayForwarderRPC.handleResponse",,,,,,,,,,,,,,,,,,,,,,,,,,,8,28,0,24,3,19,4,7,3,0,11,16,4,14,3,3,3,1,2,,,,,0,,0,0,,,"0.17",3,3,3,1
