Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"InputCollection.java",2,2,2,1,13,0,7,5,,,,,1,0,1,19,,19,19,0,19,,4,2,2,11,,324,32,165,52,96,128,,,,67,114,53,78,,,,,,9,9,11,9,,,5,,,,"0.78",40,40,45,36
File,"InputTest.java",2,2,2,1,43,4,35,3,,,,,1,0,0,13,,13,13,0,13,,0,2,0,11,,607,82,466,90,414,62,,,,389,418,83,377,,,,,,11,5,11,3,,,2,,,,"0.13",36,27,36,15
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.splunk",2,2,2,1,25,2,18,4,,,,,2,0,1,,2,,32,0,32,,4,4,2,22,,931,114,631,142,510,190,,,,456,532,136,455,,,,,,11,9,11,9,,,5,,,,"0.30",76,67,81,51
Public Class,"com.splunk.InputCollection",2,2,2,1,13,0,7,5,1,18,18,0,,0,1,,,,19,0,19,19,4,2,2,11,,300,28,160,47,96,113,,,,62,109,48,78,,,,,,9,9,11,9,,2,5,,89,84,"0.71",40,40,45,36
Constructor,"com.splunk.InputCollection.InputCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Constructor,"com.splunk.InputCollection.InputCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Constructor,"com.splunk.InputCollection.InputCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Constructor,"com.splunk.InputCollection.InputCollection",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,4,2,1,7,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.75",1,1,1,1
Public Method,"com.splunk.InputCollection.containsKey",,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0,4,2,2,1,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
