Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConfigFile.java",2,2,3,1,14,0,13,0,,,,,2,3,1,38,,42,39,3,42,,0,0,41,1,,634,89,531,83,292,14,,,,211,322,87,250,,,,,,17,17,18,6,,,5,,,,"0.03",112,105,117,69
File,"CustomObject.java",2,2,3,1,11,1,9,0,,,,,1,0,0,7,,7,7,3,7,,0,0,4,3,,101,24,76,27,36,1,,,,32,53,24,31,,,,,,10,10,12,3,,,3,,,,"0.01",19,19,22,11
File,"CustomObjectCompiled.java",2,2,2,1,17,3,14,0,,,,,1,0,0,9,,9,9,32,9,,0,2,5,2,,229,57,172,62,85,0,,,,110,136,61,80,,,,,,11,11,13,8,,,3,,,,"0.00",22,22,26,16
File,"WorldConfig.java",3,3,3,0,38,7,29,1,,,,,5,0,0,21,,13,21,104,21,,0,3,4,14,,1088,233,743,155,527,113,,,,567,648,154,516,,,,,,20,20,20,5,,,4,,,,"0.15",66,66,71,19
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.khorn",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.khorn.terraincontrol",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.khorn.terraincontrol.configuration",3,2,3,1,22,3,18,0,,,,,7,3,1,,2,,60,107,63,,0,3,45,15,,1722,322,1274,238,819,127,,,,778,970,241,766,,,,,,20,20,20,6,,,5,,,,"0.10",178,171,188,88
Public Abstract Class,"com.khorn.terraincontrol.configuration.ConfigFile",2,2,3,1,14,0,13,0,1,23,23,3,,3,1,,,,39,3,42,42,0,0,41,1,,619,86,519,72,292,14,,,,200,311,76,250,,,,,,17,17,18,6,,1,5,,80,80,"0.03",112,105,117,69
Protected Method,"com.khorn.terraincontrol.configuration.ConfigFile.CheckValue",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,1,6,0,1,3,0,3,6,1,5,3,3,3,3,2,,,,,2,,1,2,,,"0.00",3,3,3,3
