Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnnotationProcessor_Array_Test.java",1,1,1,1,23,3,13,7,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,61,11,33,20,20,17,,,,25,28,18,20,,,,,,1,1,1,1,,,0,,,,"0.52",2,2,2,2
File,"AnnotationProcessor_BaseclassAndGenerationGap_Test.java",1,1,1,1,33,4,22,7,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,115,18,73,42,54,24,,,,59,63,36,48,,,,,,1,1,1,1,,,0,,,,"0.33",3,3,3,3
File,"AnnotationProcessor_Baseclass_Test.java",1,1,1,1,26,3,15,8,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,94,15,52,30,36,27,,,,41,45,27,36,,,,,,1,1,1,1,,,0,,,,"0.52",3,3,3,3
File,"AnnotationProcessor_BuilderDependencies_Test.java",1,1,1,1,27,3,17,10,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,41,7,24,15,14,13,,,,19,21,14,11,,,,,,1,1,1,1,,,0,,,,"0.54",1,1,1,1
File,"AnnotationProcessor_BuilderInterface_Test.java",1,1,1,1,28,3,16,8,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,101,15,57,34,38,29,,,,43,47,28,38,,,,,,1,1,1,1,,,0,,,,"0.51",3,3,3,3
File,"AnnotationProcessor_ClassAnnotation_Test.java",1,1,1,1,23,3,13,7,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,38,8,20,13,10,10,,,,15,17,12,10,,,,,,1,1,1,1,,,0,,,,"0.50",1,1,1,1
File,"AnnotationProcessor_ConstructorAnnotation_Test.java",1,1,1,1,24,3,13,7,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,64,12,34,21,20,18,,,,25,28,18,20,,,,,,1,1,1,1,,,0,,,,"0.53",2,2,2,2
File,"AnnotationProcessor_CopyMethod_Test.java",1,1,1,1,23,3,13,7,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,86,16,46,27,30,25,,,,35,39,24,29,,,,,,1,1,1,1,,,0,,,,"0.54",3,3,3,3
File,"AnnotationProcessor_CustomAnnotation_Test.java",1,1,1,1,27,3,17,7,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,100,16,60,35,42,24,,,,49,53,32,41,,,,,,1,1,1,1,,,0,,,,"0.40",3,3,3,3
File,"AnnotationProcessor_Enums_Test.java",1,1,1,1,23,3,13,7,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,7,20,13,10,10,,,,15,17,12,10,,,,,,1,1,1,1,,,0,,,,"0.50",1,1,1,1
File,"AnnotationProcessor_FactoryMethodAnnotation_Test.java",1,1,1,1,31,4,21,6,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,144,26,91,50,72,27,,,,77,82,46,72,,,,,,1,1,1,1,,,0,,,,"0.30",4,4,4,4
