Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FCSRRegister.java",5,4,5,2,21,1,14,5,,,,,1,0,0,12,,12,12,0,12,,4,3,0,5,,304,34,182,28,129,91,,,,78,124,28,97,,,,,,9,6,9,6,,,2,,,,"0.50",64,49,65,25
File,"FPInstructionUtils.java",4,4,7,3,25,2,15,7,,,,,1,24,13,24,,24,0,0,24,,0,13,0,11,,727,95,394,102,274,241,,,,198,296,103,243,,,,,,14,11,24,10,,,4,,,,"0.61",102,98,180,79
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.edumips64",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.edumips64.core",5,4,5,2,21,1,14,5,,,,,1,0,0,,1,,12,0,12,,4,3,0,5,,304,34,182,28,129,91,,,,78,124,28,97,,,,,,9,6,9,6,,,2,,,,"0.50",64,49,65,25
Public Class,"org.edumips64.core.FCSRRegister",5,4,5,2,21,1,14,5,1,8,8,0,,0,0,,,,12,0,12,12,4,3,0,5,,274,32,176,22,129,69,,,,72,118,22,97,,,,,,9,6,9,6,,2,2,,0,0,"0.39",64,49,65,25
Public Method,"org.edumips64.core.FCSRRegister.getFCSRConditionCode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,1,10,4,7,5,4,2,0,5,7,4,3,2,2,2,1,1,,,,,0,,1,0,,,"0.50",2,2,2,1
Private Method,"org.edumips64.core.FCSRRegister.getFCSREnables",,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,5,15,1,9,6,4,5,1,5,10,1,9,5,5,6,5,4,,,,,4,,1,4,,,"0.40",5,5,6,5
Method,"org.edumips64.core.FCSRRegister.getFCSRRoundingMode",,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,5,16,2,10,0,4,5,1,6,11,2,9,5,5,5,5,4,,,,,4,,1,4,,,"0.00",5,5,5,5
Public Method,"org.edumips64.core.FCSRRegister.getFPExceptions",,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,1,13,1,10,6,2,5,1,5,7,1,6,5,2,5,1,10,,,,,0,,1,0,,,"0.46",5,2,5,1
Private Method,"org.edumips64.core.FCSRRegister.getFlag",,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0,13,1,10,1,1,5,1,5,7,1,6,5,2,5,1,10,,,,,0,,1,0,,,"0.08",5,2,5,1
Public Method,"org.edumips64.core.FCSRRegister.setFCSRCause",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,0,13,1,10,7,3,6,1,5,11,1,10,6,6,6,1,4,,,,,0,,1,0,,,"0.54",6,6,6,1
Method,"org.edumips64.core.FCSRRegister.setFCSRConditionCode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,1,10,4,7,6,2,2,0,5,7,4,3,2,2,2,1,1,,,,,0,,1,0,,,"0.60",2,2,2,1
Private Method,"org.edumips64.core.FCSRRegister.setFCSREnables",,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,1,13,1,10,10,3,6,1,5,11,1,10,6,6,6,1,4,,,,,0,,1,0,,,"0.77",6,6,6,1
