Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractMappedReportProvider.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,2,2,0,2,,0,0,0,2,,18,3,11,8,1,4,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,"0.36",1,1,1,1
File,"AbstractMonitoringReportProvider.java",2,2,2,1,9,2,7,0,,,,,1,0,0,4,,5,5,1,5,,0,0,3,2,,79,17,43,22,18,19,,,,24,34,22,18,,,,,,3,3,3,1,,,1,,,,"0.44",8,8,8,4
File,"AbstractReportProvider.java",1,1,1,1,5,0,3,2,,,,,1,0,0,2,,3,3,0,3,,0,0,0,3,,41,8,13,9,1,20,,,,5,8,7,1,,,,,,1,1,1,1,,,0,,,,"1.54",2,2,2,2
File,"AbstractReportProviderBean.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,0,0,2,6,,54,12,36,18,9,6,,,,16,25,16,9,,,,,,1,1,1,1,,,0,,,,"0.17",8,8,8,8
File,"DiagnosticReporter.java",1,1,1,1,7,0,6,0,,,,,2,0,1,6,,6,6,2,6,,0,1,0,5,,89,17,53,29,22,19,,,,29,40,27,20,,,,,,3,3,4,1,,,1,,,,"0.36",8,8,9,6
File,"LatencyPlotReportProvider.java",2,2,2,1,13,2,11,0,,,,,2,2,0,7,,7,5,1,7,,0,1,0,6,,139,27,93,41,53,19,,,,68,87,47,60,,,,,,6,6,6,4,,,2,,,,"0.20",17,17,17,10
File,"MonitoringReportProvider.java",1,1,1,1,4,0,4,0,,,,,2,0,0,6,,6,6,2,6,,0,0,0,6,,69,13,37,18,12,19,,,,21,30,19,13,,,,,,2,2,2,1,,,1,,,,"0.51",7,7,7,6
File,"MonitoringReporter.java",1,1,2,1,6,0,5,0,,,,,2,0,0,7,,7,7,2,7,,0,0,0,7,,88,17,52,28,20,19,,,,27,41,24,21,,,,,,5,5,6,4,,,1,,,,"0.37",13,13,14,10
File,"MonitoringSessionComparisonReporter.java",1,1,1,1,4,0,4,0,,,,,2,0,0,11,,11,11,5,11,,0,0,0,11,,107,20,68,35,21,19,,,,37,52,33,21,,,,,,2,2,2,1,,,1,,,,"0.28",12,12,12,11
File,"ProfileReporter.java",1,1,1,1,6,0,5,0,,,,,4,1,0,31,,31,30,14,31,,0,3,0,28,,294,60,211,95,93,23,,,,111,158,93,85,,,,,,5,5,5,1,,,3,,,,"0.11",41,41,41,31
File,"SystemUnderTestPlotsGeneralProvider.java",3,3,3,1,19,2,16,0,,,,,2,0,1,22,,22,22,11,22,,0,0,0,22,,515,94,399,134,254,22,,,,220,318,137,227,,,,,,58,58,58,1,,,10,,,,"0.06",84,84,84,22
File,"SystemUnderTestPlotsProvider.java",2,2,2,1,12,1,10,0,,,,,2,0,0,20,,20,20,11,20,,0,0,0,20,,339,67,249,95,139,23,,,,136,195,94,130,,,,,,23,23,23,1,,,7,,,,"0.09",47,47,47,20
File,"WorkloadProcessDetailsReporter.java",1,1,2,1,8,0,8,0,,,,,2,0,1,4,,4,4,2,4,,0,0,0,4,,81,13,49,26,20,19,,,,25,35,23,16,,,,,,4,4,5,1,,,1,,,,"0.39",7,7,8,4
File,"WorkloadProcessTimePlotsReporter.java",2,2,2,1,16,2,13,0,,,,,3,1,0,8,,8,7,3,8,,0,1,0,7,,181,34,127,59,76,20,,,,77,104,61,68,,,,,,12,12,13,1,,,2,,,,"0.16",21,21,22,8
File,"WorkloadSessionComparisonReporter.java",1,1,1,1,4,0,4,0,,,,,2,0,0,16,,16,16,8,16,,0,0,0,16,,140,32,89,44,29,19,,,,49,69,43,29,,,,,,2,2,2,1,,,1,,,,"0.21",17,17,17,16
