Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BasicInterpretingVisitor.java",3,3,3,2,17,2,15,0,,,,,1,0,0,70,,70,70,2,70,,0,0,3,67,,1406,223,1165,358,727,18,,,,583,826,303,635,,,,,,15,13,18,14,,,6,,,,"0.02",243,232,268,151
File,"InvokeDynamicInterpretingVisitor.java",4,4,4,1,20,3,17,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,104,21,83,29,50,0,,,,45,61,29,39,,,,,,7,7,7,4,,,2,,,,"0.00",16,16,16,7
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dynjs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dynjs.runtime",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dynjs.runtime.interp",3,3,3,2,17,2,15,0,,,,,2,0,0,,2,,74,2,74,,0,0,4,70,,1510,244,1248,387,777,18,,,,628,887,332,674,,,,,,15,13,18,14,,,6,,,,"0.01",259,248,284,158
Public Class,"org.dynjs.runtime.interp.BasicInterpretingVisitor",3,3,3,2,17,2,15,0,2,92,92,1,,0,0,,,,70,2,70,70,0,0,3,67,,1317,220,1079,272,727,18,,,,497,740,217,635,,,,,,15,13,18,14,,1,6,,97,47,"0.02",243,232,268,151
Public Constructor,"org.dynjs.runtime.interp.BasicInterpretingVisitor.BasicInterpretingVisitor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.dynjs.runtime.interp.BasicInterpretingVisitor.compiledBlockStatement",,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,0,8,3,5,0,8,2,0,4,6,3,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"org.dynjs.runtime.interp.BasicInterpretingVisitor.getValue",,,,,,,,,,,,,,,,,,,,,,,,,,,39,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.dynjs.runtime.interp.BasicInterpretingVisitor.invokeCompiledBlockStatement",,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,0,4,2,2,0,3,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.dynjs.runtime.interp.BasicInterpretingVisitor.pop",,,,,,,,,,,,,,,,,,,,,,,,,,,47,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.dynjs.runtime.interp.BasicInterpretingVisitor.push",,,,,,,,,,,,,,,,,,,,,,,,,,,60,6,0,6,1,3,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
