Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"HttpConnection.java",1,1,1,1,7,0,4,3,,,,,1,0,0,2,,17,17,0,17,,17,0,0,0,,206,20,46,41,2,140,,,,25,28,26,2,,,,,,1,1,1,1,,,0,,,,"3.04",2,2,2,2
File,"VertxHttp2ClientHandler.java",1,1,1,1,6,0,6,0,,,,,2,0,0,45,,45,39,14,39,,6,1,2,30,,379,38,320,140,143,22,,,,144,208,107,123,,,,,,5,5,7,1,,,3,,,,"0.07",67,67,71,45
File,"VertxHttp2ConnectionHandler.java",1,1,1,1,6,0,6,0,,,,,1,2,0,50,,50,39,13,41,,0,2,1,38,,386,55,306,131,123,25,,,,126,191,91,110,,,,,,7,7,7,1,,,3,,,,"0.08",75,75,77,50
File,"VertxHttp2ServerHandler.java",1,1,2,1,7,0,7,0,,,,,2,0,1,33,,33,21,9,21,,7,2,2,10,,319,35,259,109,130,25,,,,131,177,91,108,,,,,,8,8,12,8,,,2,,,,"0.10",56,56,66,42
Package,"io",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.vertx",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.vertx.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.vertx.core.http",1,1,1,1,7,0,4,3,,,,,1,0,0,,1,,17,0,17,,17,0,0,0,,206,20,46,41,2,140,,,,25,28,26,2,,,,,,1,1,1,1,,,0,,,,"3.04",2,2,2,2
Public Interface,"io.vertx.core.http.HttpConnection",1,1,1,1,7,0,4,3,0,7,7,1,,0,0,,,,17,0,17,17,17,0,0,0,,147,17,38,33,2,92,,,,17,20,18,2,,,,,,1,1,1,1,,0,0,,0,0,"2.42",2,2,2,2
Abstract Method,"io.vertx.core.http.HttpConnection.close",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,1,1,0,3,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"3.00",0,0,0,0
