Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GlobalStubMappingTransformer.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,23,4,19,12,4,0,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,"0.00",2,2,2,2
File,"NonGlobalStubMappingTransformer.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,29,5,24,14,6,0,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,"0.00",3,3,3,3
File,"SnapshotStubMappingTransformerRunnerTest.java",1,1,1,1,9,1,8,0,,,,,1,0,0,5,,5,5,0,5,,0,1,0,4,,71,15,55,34,27,1,,,,25,31,26,13,,,,,,1,1,1,1,,,0,,,,"0.02",5,5,5,5
File,"SnapshotTransformerAcceptanceTest.java",1,1,1,1,10,1,9,0,,,,,1,0,4,4,,4,4,2,4,,0,0,0,4,,154,16,123,30,92,17,,,,32,37,23,14,,,,,,1,1,1,1,,,0,,,,"0.14",4,4,4,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.tomakehurst",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.github.tomakehurst.wiremock",1,1,1,1,10,1,9,0,,,,,1,0,4,,1,,4,2,4,,0,0,0,4,,154,16,123,30,92,17,,,,32,37,23,14,,,,,,1,1,1,1,,,0,,,,"0.14",4,4,4,4
Public Class,"com.github.tomakehurst.wiremock.SnapshotTransformerAcceptanceTest",1,1,1,1,10,1,9,0,1,9,9,0,,0,4,,,,4,2,4,4,0,0,0,4,,124,13,111,18,92,2,,,,20,25,11,14,,,,,,1,1,1,1,,2,0,,37,12,"0.02",4,4,4,4
Public Method,"com.github.tomakehurst.wiremock.SnapshotTransformerAcceptanceTest.proxyServerShutdown",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.SnapshotTransformerAcceptanceTest.proxyServerStart",,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,1,11,1,9,1,14,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.09",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.SnapshotTransformerAcceptanceTest.returnsTransformedStubMappingWithGlobalTransformer",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,2,13,2,10,1,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.08",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.SnapshotTransformerAcceptanceTest.returnsTransformedStubMappingWithNonGlobalTransformer",,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,2,10,2,7,0,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"com.github.tomakehurst.wiremock.admin",1,1,1,1,9,1,8,0,,,,,1,0,0,,1,,5,0,5,,0,1,0,4,,71,15,55,34,27,1,,,,25,31,26,13,,,,,,1,1,1,1,,,0,,,,"0.02",5,5,5,5
Public Class,"com.github.tomakehurst.wiremock.admin.SnapshotStubMappingTransformerRunnerTest",1,1,1,1,9,1,8,0,1,10,10,0,,0,0,,,,5,0,5,5,0,1,0,4,,55,11,43,22,27,1,,,,13,19,14,13,,,,,,1,1,1,1,,1,0,,0,0,"0.02",5,5,5,5
Public Method,"com.github.tomakehurst.wiremock.admin.SnapshotStubMappingTransformerRunnerTest.applyWithGlobalTransformer",,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,2,8,5,5,0,6,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.admin.SnapshotStubMappingTransformerRunnerTest.applyWithNoTransformers",,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,8,5,5,0,3,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.admin.SnapshotStubMappingTransformerRunnerTest.applyWithRegisteredNonGlobalTransformer",,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,2,11,5,8,0,6,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.admin.SnapshotStubMappingTransformerRunnerTest.applyWithUnregisteredNonGlobalTransformer",,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,2,8,5,5,1,4,1,0,3,4,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.12",1,1,1,1
Private Method,"com.github.tomakehurst.wiremock.admin.SnapshotStubMappingTransformerRunnerTest.stubMappingForUrl",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,1,4,0,5,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"com.github.tomakehurst.wiremock.testsupport",1,1,1,1,5,0,5,0,,,,,2,0,0,,2,,5,0,5,,0,0,0,5,,52,9,43,26,10,0,,,,19,26,21,5,,,,,,1,1,1,1,,,0,,,,"0.00",5,5,5,5
Public Class,"com.github.tomakehurst.wiremock.testsupport.GlobalStubMappingTransformer",1,1,1,1,5,0,5,0,1,6,6,0,,0,0,,,,2,0,2,2,0,0,0,2,,13,1,12,5,4,0,,,,2,5,3,2,,,,,,1,1,1,1,,2,0,,0,0,"0.00",2,2,2,2
Public Method,"com.github.tomakehurst.wiremock.testsupport.GlobalStubMappingTransformer.getName",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.testsupport.GlobalStubMappingTransformer.transform",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,2,3,0,6,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"com.github.tomakehurst.wiremock.testsupport.NonGlobalStubMappingTransformer",1,1,1,1,5,0,5,0,1,6,6,0,,0,0,,,,3,0,3,3,0,0,0,3,,19,2,17,7,6,0,,,,3,7,4,3,,,,,,1,1,1,1,,2,0,,0,0,"0.00",3,3,3,3
Public Method,"com.github.tomakehurst.wiremock.testsupport.NonGlobalStubMappingTransformer.applyGlobally",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.github.tomakehurst.wiremock.testsupport.NonGlobalStubMappingTransformer.getName",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
