Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"RequestMapping.java",5,5,6,1,24,2,18,4,,,,,1,0,1,24,,24,24,15,24,,0,3,1,20,,700,82,496,157,308,126,,,,261,400,189,290,,,,,,89,89,110,9,,,4,,,,"0.25",123,123,147,36
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate.modules",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate.modules.spring_web",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.webcohesion.enunciate.modules.spring_web.model",5,5,6,1,24,2,18,4,,,,,1,0,1,,1,,24,15,24,,0,3,1,20,,700,82,496,157,308,126,,,,261,400,189,290,,,,,,89,89,110,9,,,4,,,,"0.25",123,123,147,36
Public Class,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping",5,5,6,1,24,2,18,4,3,62,62,0,,0,1,,,,24,15,24,24,0,3,1,20,,661,79,460,121,308,126,,,,225,364,153,290,,,,,,89,89,110,9,,2,4,,91,90,"0.27",123,123,147,36
Public Constructor,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.RequestMapping",,,,,,,,,,,,,,,,,,,,,,,,,,,24,384,52,322,68,241,14,85,999999999,15,163,265,99,226,89,89,110,9,13,,,,,11,,4,5,,,"0.04",89,89,110,9
Protected Method,"com.webcohesion.enunciate.modules.spring_web.model.RequestMapping.createParamDocComment",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
