Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Command.java",1,1,1,1,7,0,4,3,,,,,1,0,0,5,,6,6,0,6,,0,0,2,4,,78,8,28,13,9,42,,,,13,20,13,8,,,,,,1,1,1,1,,,1,,,,"1.50",5,5,5,5
Package,"me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"me.prettyprint",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"me.prettyprint.cassandra",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"me.prettyprint.cassandra.dao",1,1,1,1,7,0,4,3,,,,,1,0,0,,1,,6,0,6,,0,0,2,4,,78,8,28,13,9,42,,,,13,20,13,8,,,,,,1,1,1,1,,,1,,,,"1.50",5,5,5,5
Public Abstract Generic Class,"me.prettyprint.cassandra.dao.Command",1,1,1,1,7,0,4,3,1,6,6,0,,0,0,,,,6,0,6,6,0,0,2,4,,71,6,23,8,9,42,,,,8,15,8,8,,,,,,1,1,1,1,,1,1,,0,0,"1.83",5,5,5,5
TypeVariable,"me.prettyprint.cassandra.dao.Command.OUTPUT",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Abstract Method,"me.prettyprint.cassandra.dao.Command.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,1,1,0,11,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"11.00",0,0,0,0
Public Final Method,"me.prettyprint.cassandra.dao.Command.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,3,1,1,9,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"3.00",1,1,1,1
Public Final Method,"me.prettyprint.cassandra.dao.Command.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.33",1,1,1,1
Public Final Method,"me.prettyprint.cassandra.dao.Command.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,1,1,5,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Protected Final Method,"me.prettyprint.cassandra.dao.Command.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,2,5,0,6,1,0,3,5,2,4,1,1,1,1,0,,,,,0,,1,0,,,"0.00",1,1,1,1
Protected Method,"me.prettyprint.cassandra.dao.Command.getPool",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
