Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractPaxWicketInjector.java",2,2,4,1,8,0,7,0,,,,,1,0,0,5,,5,5,0,5,,0,1,4,0,,79,9,55,22,23,15,,,,27,40,23,19,,,,,,4,4,10,4,,,3,,,,"0.27",11,11,20,8
File,"AbstractPaxWicketInjectorTest.java",1,1,1,1,4,0,4,0,,,,,6,0,0,9,,9,9,5,9,,0,0,1,8,,110,23,72,47,15,15,,,,32,47,37,15,,,,,,1,1,1,1,,,0,,,,"0.21",9,9,9,9
File,"BundleAnalysingComponentInstantiationListener.java",1,1,1,1,8,0,8,0,,,,,1,0,1,7,,7,7,3,7,,0,4,0,3,,111,16,80,39,38,16,,,,46,61,36,34,,,,,,3,3,3,1,,,2,,,,"0.20",12,12,13,7
File,"PaxWicketSpringBeanComponentInjector.java",1,1,1,1,6,0,6,0,,,,,4,0,3,5,,5,5,3,5,,0,0,0,5,,107,16,57,31,20,34,,,,32,43,31,16,,,,,,2,2,2,1,,,1,,,,"0.60",7,7,7,5
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j.pax",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j.pax.wicket",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ops4j.pax.wicket.internal",1,1,2,1,6,0,6,0,,,,,8,0,1,,3,,21,8,21,,0,5,5,11,,300,48,207,108,76,46,,,,105,148,96,68,,,,,,4,4,10,4,,,3,,,,"0.22",32,32,42,24
Public Abstract Class,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjector",2,2,4,1,8,0,7,0,2,15,15,3,,0,0,,,,5,0,5,5,0,1,4,0,,62,6,41,8,23,15,,,,13,26,9,19,,,,,,4,4,10,4,,1,3,,0,0,"0.37",11,11,20,8
Private Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjector.checkAccessabilityOfField",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,2,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjector.getBeanType",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjector.getFields",,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,1,13,2,8,0,6,4,1,5,10,3,8,4,4,5,4,1,,,,,1,,3,1,,,"0.00",4,4,5,4
Protected Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjector.isBoundaryClass",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,1,6,0,2,2,0,2,4,1,3,2,2,10,1,1,,,,,0,,1,0,,,"0.00",2,2,10,1
Protected Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjector.setField",,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,0,8,1,5,0,2,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Class,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest",1,1,1,1,7,1,6,0,1,8,8,0,,0,0,,,,4,1,4,4,0,0,0,4,,94,19,60,35,15,15,,,,20,35,25,15,,,,,,1,1,1,1,,1,0,,0,0,"0.25",4,4,4,4
Private Static Class,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.PaxWicketTestInjector",1,1,1,1,2,0,2,0,1,0,0,0,,0,0,,,,1,0,1,6,0,0,0,1,,4,0,4,2,0,0,,,,0,2,2,0,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.PaxWicketTestInjector.inject",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestComponent",1,1,1,1,3,0,3,0,1,6,6,1,,0,0,,,,2,1,2,2,0,0,1,1,,13,2,11,7,1,0,,,,2,5,4,1,,,,,,1,1,1,1,,2,0,,100,100,"0.00",2,2,2,2
Public Constructor,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestComponent.TestComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestComponent.onRender",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,2,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestComponentExtender",1,1,1,1,3,0,3,0,1,3,3,0,,0,0,,,,1,2,1,3,0,0,0,1,,11,2,9,6,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,3,0,,100,100,"0.00",1,1,1,1
Public Constructor,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestComponentExtender.TestComponentExtender",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestObject",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,1,1,1,1,0,0,0,1,,8,1,7,4,1,0,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Public Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestObject.getTestService",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.TestService",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.setUp",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.testgetBeanType_shouldReturnType",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5,3,2,0,6,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.testgetFields_shouldReturnBothServiceFields",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,3,4,0,6,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.ops4j.pax.wicket.internal.AbstractPaxWicketInjectorTest.testsetField_shouldSetFieldValue",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2,8,5,5,0,7,1,0,5,6,4,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"org.ops4j.pax.wicket.internal.BundleAnalysingComponentInstantiationListener",1,1,1,1,8,0,8,0,1,18,18,0,,0,1,,,,7,3,7,12,0,4,0,3,,93,12,66,25,38,16,,,,32,47,22,34,,,,,,3,3,3,1,,2,2,,71,57,"0.24",12,12,13,7
