Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AmClusterDef.java",1,1,2,1,8,0,7,0,,,,,1,1,2,45,,45,44,13,45,,0,6,0,39,,515,98,402,127,229,15,,,,218,315,129,218,,,,,,8,8,9,4,,,3,,,,"0.04",84,84,91,51
File,"AmHostGroupInfo.java",1,1,1,1,5,0,5,0,,,,,1,0,0,18,,18,18,6,18,,0,0,0,18,,155,34,106,40,51,15,,,,60,85,42,51,,,,,,3,3,3,1,,,1,,,,"0.14",22,22,22,18
File,"AmNodeGroupDef.java",1,1,1,1,5,0,5,0,,,,,1,0,1,13,,13,13,5,13,,0,0,0,13,,132,29,88,40,36,15,,,,41,64,38,33,,,,,,5,5,5,1,,,3,,,,"0.17",19,19,19,13
File,"AmbariImpl.java",3,3,3,1,18,1,16,0,,,,,2,0,3,87,,85,87,10,87,,0,36,5,46,,1843,227,1561,521,981,55,,,,771,1095,439,829,,,,,,14,14,16,8,,,6,,,,"0.04",273,273,293,135
File,"ApiComponent.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,4,8,,0,0,0,8,,70,15,41,24,8,14,,,,16,25,17,8,,,,,,1,1,1,1,,,0,,,,"0.34",8,8,8,8
File,"ApiComponentInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,0,36,,36,36,16,36,,0,0,0,36,,232,57,160,87,36,15,,,,56,93,57,36,,,,,,1,1,1,1,,,0,,,,"0.09",36,36,36,36
File,"ApiComponentList.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,47,10,23,14,4,14,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,"0.61",4,4,4,4
File,"ApiGetRequestInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,0,40,,40,40,20,40,,0,0,0,40,,264,64,186,105,40,14,,,,64,105,65,40,,,,,,1,1,1,1,,,0,,,,"0.08",40,40,40,40
File,"ApiHostComponents.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,42,10,15,10,2,17,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,"1.13",2,2,2,2
File,"ApiManager.java",2,2,2,1,14,0,14,0,,,,,1,0,1,68,,68,68,1,68,,0,2,2,64,,1154,100,1039,407,666,16,,,,552,721,336,518,,,,,,8,8,8,6,,,5,,,,"0.02",153,153,154,79
File,"ApiOperationLevel.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,0,0,0,8,,69,12,40,21,10,17,,,,16,25,15,10,,,,,,1,1,1,1,,,0,,,,"0.42",8,8,8,8
