Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ERXEC.java",1,1,1,1,8,0,6,1,,,,,3,7,6,70,,80,73,7,80,,0,0,1,79,,635,9,492,140,283,134,,,,203,367,140,271,,,,,,4,4,5,1,,,3,,,,"0.27",126,126,129,70
Package,"er",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"er.extensions",1,1,1,1,8,0,6,1,,,,,3,7,6,,1,,73,7,80,,0,0,1,79,,635,9,492,140,283,134,,,,203,367,140,271,,,,,,4,4,5,1,,,3,,,,"0.27",126,126,129,70
Public Class,"er.extensions.ERXEC",1,1,1,1,8,0,6,1,1,12,12,0,,7,5,,,,50,4,57,57,0,0,0,57,,624,7,489,137,283,128,,,,200,364,137,271,,,,,,4,4,5,1,,2,3,,94,39,"0.26",103,103,106,57
Public Static Class,"er.extensions.ERXEC.DefaultFactory",1,1,1,1,9,0,5,4,2,7,7,0,,0,1,,,,13,3,13,13,0,0,1,12,,131,0,75,20,42,56,,,,33,54,20,37,,,,,,4,4,4,1,,1,2,,82,56,"0.75",23,23,23,13
Public Constructor,"er.extensions.ERXEC.DefaultFactory.DefaultFactory",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,4,1,2,1,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Protected Method,"er.extensions.ERXEC.DefaultFactory._createEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,3,1,1,1,3,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,,"0.33",2,2,2,1
Public Method,"er.extensions.ERXEC.DefaultFactory._newEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,3,1,1,3,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXEC.DefaultFactory._newEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXEC.DefaultFactory._newEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"er.extensions.ERXEC.DefaultFactory._newEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,7,20,0,17,3,13,3,14,4,1,10,13,3,12,4,4,4,1,1,,,,,0,,1,0,,,"0.18",4,4,4,1
Public Method,"er.extensions.ERXEC.DefaultFactory.defaultEditingContextDelegate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"6.00",1,1,1,1
Public Method,"er.extensions.ERXEC.DefaultFactory.defaultNoValidationDelegate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,1,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"7.00",1,1,1,1
Public Method,"er.extensions.ERXEC.DefaultFactory.setDefaultDelegateOnEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,0,15,1,10,8,6,6,1,4,8,1,7,4,4,4,1,2,,,,,0,,2,0,,,"0.53",4,4,4,1
Public Method,"er.extensions.ERXEC.DefaultFactory.setDefaultDelegateOnEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"er.extensions.ERXEC.DefaultFactory.setDefaultEditingContextDelegate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,6,1,3,6,3,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"1.00",2,2,2,1
Public Method,"er.extensions.ERXEC.DefaultFactory.setDefaultNoValidationDelegate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,3,1,1,7,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Method,"er.extensions.ERXEC.DefaultFactory.useSharedEditingContext",,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,7,1,4,0,6,2,0,3,5,1,4,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Constructor,"er.extensions.ERXEC.ERXEC",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Public Constructor,"er.extensions.ERXEC.ERXEC",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
