Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExceptionMatchers.java",1,1,1,1,6,0,6,0,,,,,4,3,0,10,,10,7,0,10,,0,1,0,9,,83,14,46,10,25,23,,,,18,29,16,13,,,,,,1,1,1,1,,,0,,,,"0.50",10,10,10,10
File,"LongOptionNoArgumentTest.java",1,1,1,1,7,0,6,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,82,17,42,20,19,23,,,,25,31,15,19,,,,,,1,1,1,1,,,0,,,,"0.55",5,5,5,5
File,"LongOptionRequiredArgumentTest.java",1,1,1,1,8,0,7,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,103,21,59,26,30,23,,,,36,44,19,30,,,,,,1,1,1,1,,,0,,,,"0.39",7,7,7,7
File,"OptionParserOptionExceptionTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,78,17,38,15,18,23,,,,21,27,10,18,,,,,,1,1,1,1,,,0,,,,"0.61",5,5,5,5
File,"OptionParserTest.java",1,1,1,1,12,1,10,0,,,,,2,0,0,17,,17,17,0,17,,0,0,0,17,,264,50,191,63,128,23,,,,134,152,44,124,,,,,,1,1,1,1,,,0,,,,"0.12",17,17,17,17
File,"ShortOptionsOptionalArgumentTest.java",1,1,1,1,8,0,7,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,103,21,59,27,29,23,,,,36,44,20,29,,,,,,1,1,1,1,,,0,,,,"0.39",7,7,7,7
File,"ShortOptionsRequiredArgumentTest.java",1,1,1,1,8,1,7,0,,,,,1,0,0,10,,10,10,0,10,,0,0,0,10,,130,28,79,35,40,23,,,,47,58,25,40,,,,,,1,1,1,1,,,0,,,,"0.29",10,10,10,10
File,"TypesafeOptionArgumentRetrievalTest.java",1,1,1,1,7,1,6,0,,,,,4,0,0,33,,33,33,1,33,,1,0,0,32,,319,85,211,112,113,23,,,,113,148,92,103,,,,,,1,1,1,1,,,0,,,,"0.11",33,33,33,33
File,"UtilityClassesUninstantiabilityHarness.java",1,1,1,1,6,1,5,0,,,,,1,0,0,2,,2,2,2,2,,0,0,1,1,,60,14,23,15,7,23,,,,16,19,14,7,,,,,,1,1,1,1,,,0,,,,"1.00",2,2,2,2
File,"WAsAbbreviationForLongOptionTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,64,14,27,14,10,23,,,,16,20,11,10,,,,,,1,1,1,1,,,0,,,,"0.85",3,3,3,3
File,"WAsShortOptionTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,63,14,26,14,9,23,,,,15,19,11,9,,,,,,1,1,1,1,,,0,,,,"0.88",3,3,3,3
File,"WExtensionNoArgumentTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,65,14,28,14,11,23,,,,17,21,11,11,,,,,,1,1,1,1,,,0,,,,"0.82",3,3,3,3
File,"WExtensionWithArgumentTest.java",1,1,1,1,8,1,7,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,116,25,68,30,36,23,,,,42,51,22,36,,,,,,1,1,1,1,,,0,,,,"0.34",8,8,8,8
Package,"joptsimple",1,1,1,1,8,1,7,0,,,,,20,3,0,,13,,110,3,113,,1,1,1,110,,1530,334,897,395,475,299,,,,536,663,310,449,,,,,,1,1,1,1,,,0,,,,"0.33",113,113,113,113
Public Class,"joptsimple.ExceptionMatchers",1,1,1,1,10,0,9,0,1,4,4,0,,3,0,,,,1,0,4,4,0,1,0,3,,50,6,41,5,25,3,,,,13,24,11,13,,,,,,1,1,1,1,,1,0,,0,0,"0.07",4,4,4,4
Private Constructor,"joptsimple.ExceptionMatchers.ExceptionMatchers",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"joptsimple.ExceptionMatchers.withCauseOfType",,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,1,12,1,8,0,1,1,0,4,7,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
