Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseLiteral.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,36,9,10,5,2,17,,,,3,7,5,2,,,,,,1,1,1,1,,,0,,,,"1.70",3,3,3,3
File,"BasePrimary.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,36,9,10,5,2,17,,,,3,7,5,2,,,,,,1,1,1,1,,,0,,,,"1.70",3,3,3,3
File,"Block.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,53,13,23,12,5,17,,,,11,17,12,5,,,,,,1,1,1,1,,,0,,,,"0.74",5,5,5,5
File,"FalseReservedWord.java",1,1,1,1,3,0,3,0,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,37,9,11,6,3,17,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,"1.55",2,2,2,2
File,"LiteralArray.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,36,9,10,5,2,17,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,"1.70",2,2,2,2
File,"LiteralCharacter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,36,9,10,5,2,17,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,"1.70",2,2,2,2
File,"LiteralNumber.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,36,9,10,5,2,17,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,"1.70",2,2,2,2
File,"LiteralString.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,46,11,18,8,5,17,,,,8,13,8,5,,,,,,1,1,1,1,,,0,,,,"0.94",4,4,4,4
File,"LiteralSymbol.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,46,11,18,8,5,17,,,,8,13,8,5,,,,,,1,1,1,1,,,0,,,,"0.94",4,4,4,4
File,"NilReservedWord.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,36,9,10,5,2,17,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,"1.70",2,2,2,2
